"VM","Cluster","Disk","CapacityGB","StorageFormat","Persistence","Filename"
"TG002VMBBL001","Cluster_DMZ","Hard disk 1","100","Thin","Persistent","[DS_OS_BBL] TG002VMBBL001/TG002VMBBL001.vmdk"
"TG002VMBBL001","Cluster_DMZ","Hard disk 2","500","Thin","Persistent","[DS_DATA_BBL] TG002VMBBL001/TG002VMBBL001_1.vmdk"
"TG002VMBBL002","Cluster_DMZ","Hard disk 1","100","Thin","Persistent","[DS_OS_BBL] TG002VMBBL002/TG002VMBBL002.vmdk"
"TG002VMBBL002","Cluster_DMZ","Hard disk 2","500","Thick","Persistent","[DS_DATA_BBL] TG002VMBBL002/TG002VMBBL002_1.vmdk"
"TG002VMRAT001","","Hard disk 1","200","Thin","Persistent","[DS_OS_RAT-1] TG002VMRAT001/TG002VMRAT001.vmdk"
"TG002VMRAT001","","Hard disk 2","800","Thin","Persistent","[DS_DATA_RAT-1] TG002VMRAT001/TG002VMRAT001_1.vmdk"
"TG002VMRAT001","","Hard disk 3","2662,4","Thin","Persistent","[DS_DATA_RAT-1] TG002VMRAT001/TG002VMRAT001_2.vmdk"
"TG002VMRAT002","","Hard disk 1","200","Thin","Persistent","[DS_OS_RAT-2] TG002VMRAT002/TG002VMRAT002.vmdk"
"TG002VMRAT002","","Hard disk 2","1024","Thin","Persistent","[DS_DATA_RAT-2] TG002VMRAT002/TG002VMRAT002_1.vmdk"
"TG002VMRAT002","","Hard disk 3","200","Thin","Persistent","[DS_DATA_RAT-2] TG002VMRAT002/TG002VMRAT002_2.vmdk"
"TG002VMBDT001","","Hard disk 1","90","Thin","Persistent","[DS_OS_BIGDATA-00] TG002VMBDT001/TG002VMBDT001.vmdk"
"TG002VMBDT001","","Hard disk 2","0","Thick","Persistent","[] /vmfs/volumes/6494839d-fdcf7698-d622-ac162dbd30c4/TG002VMBDT001/TG002VMBDT001.vmdk"
"TG002VMBDT002","","Hard disk 1","90","Thin","Persistent","[DS_OS_BIGDATA-01] TG002VMBDT002/TG002VMBDT002.vmdk"
"TG002VMBDT002","","Hard disk 2","0","Thick","Persistent","[] /vmfs/volumes/649483b8-9a4b6278-b1da-ac162dbd30c4/TG002VMBDT002/TG002VMBDT002.vmdk"
"TG002VMBDT003","","Hard disk 1","90","Thin","Persistent","[DS_OS_BIGDATA-02] TG002VMBDT003/TG002VMBDT003.vmdk"
"TG002VMBDT003","","Hard disk 2","0","Thick","Persistent","[] /vmfs/volumes/649483d0-8f868150-8490-ac162dbd30c4/TG002VMBDT003/TG002VMBDT003.vmdk"
"TG002VMBDT004","","Hard disk 1","90","Thin","Persistent","[DS_OS_BIGDATA-03] TG002VMBDT004/TG002VMBDT004.vmdk"
"TG002VMBDT004","","Hard disk 2","0","Thick","Persistent","[] /vmfs/volumes/649483ee-4cf505d0-df38-ac162dbd30c4/TG002VMBDT004/TG002VMBDT004.vmdk"
"TG002VMBDT005","","Hard disk 1","90","Thin","Persistent","[DS_OS_BIGDATA-04] TG002VMBDT005/TG002VMBDT005.vmdk"
"TG002VMBDT005","","Hard disk 2","0","Thick","Persistent","[] /vmfs/volumes/6494847d-1a811e30-a1e6-ac162dbd30c4/TG002VMBDT005/TG002VMBDT005.vmdk"
"TG002VMAPP101","","Hard disk 1","150","Thick","Persistent","[DS_PROJET_EZRA] TG002VMAPP101/TG002VMAPP101.vmdk"
"TG002VMAPP101","","Hard disk 2","100","Thick","Persistent","[DS_PROJET_EZRA] TG002VMAPP101/TG002VMAPP101_1.vmdk"
"TG002VMAPP102","","Hard disk 1","150","Thick","Persistent","[DS_PROJET_EZRA] TG002VMAPP102/TG002VMAPP102.vmdk"
"TG002VMAPP102","","Hard disk 2","100","Thick","Persistent","[DS_PROJET_EZRA] TG002VMAPP102/TG002VMAPP102_1.vmdk"
"TG002VMAPP103","","Hard disk 1","150","Thick","Persistent","[DS_PROJET_EZRA] TG002VMAPP103/TG002VMAPP103.vmdk"
"TG002VMAPP103","","Hard disk 2","100","Thick","Persistent","[DS_PROJET_EZRA] TG002VMAPP103/TG002VMAPP103_1.vmdk"
"TG002VMMNT104","","Hard disk 1","150","Thick","Persistent","[DS_PROJET_EZRA] TG002VMMNT104/TG002VMMNT104.vmdk"
"TG002VMMNT104","","Hard disk 2","100","Thick","Persistent","[DS_PROJET_EZRA] TG002VMMNT104/TG002VMMNT104_1.vmdk"
"TG002VMLOG105","","Hard disk 1","200","Thick","Persistent","[DS_PROJET_EZRA] TG002VMLOG105/TG002VMLOG105.vmdk"
"TG002VMLOG105","","Hard disk 2","600","Thick","Persistent","[DS_PROJET_EZRA] TG002VMLOG105/TG002VMLOG105_1.vmdk"
"TG002VMDBO106","","Hard disk 1","150","Thick","Persistent","[DS_PROJET_EZRA] TG002VMDBO106/TG002VMDBO106.vmdk"
"TG002VMDBO106","","Hard disk 2","250","Thick","Persistent","[DS_PROJET_EZRA] TG002VMDBO106/TG002VMDBO106_1.vmdk"
"TG002VMDBO107","","Hard disk 1","150","Thick","Persistent","[DS_PROJET_EZRA] TG002VMDBO107/TG002VMDBO107.vmdk"
"TG002VMDBO107","","Hard disk 2","250","Thick","Persistent","[DS_PROJET_EZRA] TG002VMDBO107/TG002VMDBO107_1.vmdk"
"TG002VMRPT108","","Hard disk 1","150","Thick","Persistent","[DS_PROJET_EZRA] TG002VMRPT108/TG002VMRPT108.vmdk"
"TG002VMRPT108","","Hard disk 2","250","Thick","Persistent","[DS_PROJET_EZRA] TG002VMRPT108/TG002VMRPT108_1.vmdk"
"TG002VMANS109","","Hard disk 1","150","Thick","Persistent","[DS_PROJET_EZRA] TG002VMANS109/TG002VMANS109.vmdk"
"TG002VMANS109","","Hard disk 2","250","Thick","Persistent","[DS_PROJET_EZRA] TG002VMANS109/TG002VMANS109_1.vmdk"
"TG002VMDSS110","","Hard disk 1","150","Thick","Persistent","[DS_PROJET_EZRA] TG002VMDSS110/TG002VMDSS110.vmdk"
"TG002VMDSS110","","Hard disk 2","250","Thick","Persistent","[DS_PROJET_EZRA] TG002VMDSS110/TG002VMDSS110_1.vmdk"
"TG002VMRAS111","","Hard disk 1","150","Thick","Persistent","[DS_PROJET_EZRA] TG002VMRAS111/TG002VMRAS111.vmdk"
"TG002VMRAS111","","Hard disk 2","250","Thick","Persistent","[DS_PROJET_EZRA] TG002VMRAS111/TG002VMRAS111_1.vmdk"
"SERVEUR_ISE_01","","Hard disk 1","300","Thin","Persistent","[DS_OS_PORTING] SERVEUR_ISE_01/SERVEUR_ISE_01.vmdk"
"SERVEUR_ISE_02","","Hard disk 1","300","Thin","Persistent","[DS_OS_PORTING] SERVEUR_ISE_02/SERVEUR_ISE_02.vmdk"
"SERVEUR_ISE_AD","","Hard disk 1","40","Thin","Persistent","[DS_OS_PORTING] SERVEUR_ISE_AD/SERVEUR_ISE_AD.vmdk"
"ISE_100","","Hard disk 1","300","Thin","Persistent","[DS_DATA_BI-1] ISE_100/ISE_100-000001.vmdk"
"ISE_102","","Hard disk 1","300","Thin","Persistent","[DS_DATA_BI-2] ISE_102/ISE_102.vmdk"
"ISE_103","","Hard disk 1","300","Thin","Persistent","[DS_DATA_BI-2] ISE_103/ISE_103.vmdk"
"TG002VMBKI003","","Hard disk 1","150","Thin","Persistent","[DS_DATA_BANKAI] TG002VMBKI003/TG002VMBKI003.vmdk"
"Ubuntu_Test_Server","","Hard disk 1","100","Thin","Persistent","[DS_DATA_RAT-2] Ubuntu_Test_Server/Ubuntu_Test_Server.vmdk"
"PROXMOX TEST","","Hard disk 1","200","Thick","Persistent","[DS_OS_BRM_TEST] PROXMOX TEST/PROXMOX TEST.vmdk"
"TG002VMBKI002","","Hard disk 1","200","Thin","Persistent","[DS_DATA_BANKAI] TG002VMBKI002/TG002VMBKI002.vmdk"
"TG002VMBKI002","","Hard disk 2","6144","Thin","Persistent","[DS_DATA_BKI] TG002VMBKI002/TG002VMBKI002_1.vmdk"
"TG002VMBKI001","","Hard disk 1","200","Thin","Persistent","[DS_DATA_BANKAI] TG002VMBKI001/TG002VMBKI001.vmdk"
"TG002VMBKI001","","Hard disk 2","6144","Thin","Persistent","[DS_DATA_BKI] TG002VMBKI001/TG002VMBKI001_1.vmdk"
"TG002VMDS001","","Hard disk 1","500","Thin","Persistent","[DS_OS_IME_TEST] TG002VMDS001/TG002VMDS001.vmdk"
"TG002VMSD002","","Hard disk 1","500","Thin","Persistent","[DS_OS_IME_TEST] TG002VMSD002/TG002VMSD002.vmdk"
"tg002vminf120","Cluster_DMZ","Hard disk 1","12","Thin","Persistent","[DS_OS_BRM_TEST] tg002vminf120/tg002vminf120.vmdk"
"tg002vminf120","Cluster_DMZ","Hard disk 2","1,62","Thin","Persistent","[DS_OS_BRM_TEST] tg002vminf120/tg002vminf120_1.vmdk"
"tg002vminf120","Cluster_DMZ","Hard disk 3","25","Thin","Persistent","[DS_OS_BRM_TEST] tg002vminf120/tg002vminf120_2.vmdk"
"tg002vminf120","Cluster_DMZ","Hard disk 4","25","Thin","Persistent","[DS_OS_BRM_TEST] tg002vminf120/tg002vminf120_3.vmdk"
"tg002vminf120","Cluster_DMZ","Hard disk 5","10","Thin","Persistent","[DS_OS_BRM_TEST] tg002vminf120/tg002vminf120_4.vmdk"
"tg002vminf120","Cluster_DMZ","Hard disk 6","10","Thin","Persistent","[DS_OS_BRM_TEST] tg002vminf120/tg002vminf120_5.vmdk"
"tg002vminf120","Cluster_DMZ","Hard disk 7","15","Thin","Persistent","[DS_OS_BRM_TEST] tg002vminf120/tg002vminf120_6.vmdk"
"tg002vminf120","Cluster_DMZ","Hard disk 8","10","Thin","Persistent","[DS_OS_BRM_TEST] tg002vminf120/tg002vminf120_7.vmdk"
"tg002vminf120","Cluster_DMZ","Hard disk 9","1","Thin","Persistent","[DS_OS_BRM_TEST] tg002vminf120/tg002vminf120_8.vmdk"
"tg002vminf120","Cluster_DMZ","Hard disk 10","10","Thin","Persistent","[DS_OS_BRM_TEST] tg002vminf120/tg002vminf120_9.vmdk"
"tg002vminf120","Cluster_DMZ","Hard disk 11","10","Thin","Persistent","[DS_OS_BRM_TEST] tg002vminf120/tg002vminf120_10.vmdk"
"tg002vminf120","Cluster_DMZ","Hard disk 12","100","Thin","Persistent","[DS_OS_BRM_TEST] tg002vminf120/tg002vminf120_11.vmdk"
"tg002vminf120","Cluster_DMZ","Hard disk 13","50","Thin","Persistent","[DS_OS_BRM_TEST] tg002vminf120/tg002vminf120_12.vmdk"
