"Datastore","Type","CapacityGB","FreeSpaceGB","UsedSpaceGB","UsedPercent","Accessible","HostCount","VMCount","Hosts"
"DS_DATA_BBL","VMFS","1535,75","1034,07","501,68","32,67","True","1","2","10.82.11.25"
"DS_DATA_CDR_2_ETENDU","VMFS","99,75","98,34","1,41","1,41","True","1","0","10.82.11.25"
"DS_OS_BRM_TEST","VMFS","3071,75","1720,55","1351,20","43,99","True","2","2","10.82.11.10;10.82.11.25"
"DS_DATA_XF_NEW","VMFS","5119,75","2046,90","3072,85","60,02","True","2","0","10.82.11.10;10.82.11.25"
"DS_OS_PORTING","VMFS","1023,75","518,14","505,61","49,39","True","2","3","10.82.11.10;10.82.11.25"
"DS_OS_BIGDATA-02","VMFS","99,75","94,29","5,46","5,47","True","2","1","10.82.11.10;10.82.11.25"
"datastore1","VMFS","271,75","264,61","7,14","2,63","True","1","0","10.82.11.10"
"DS-OS-PAM","VMFS","499,75","177,68","322,07","64,45","True","2","0","10.82.11.10;10.82.11.25"
"DS_DATA_BI-2","VMFS","8191,75","5365,24","2826,51","34,50","True","2","2","10.82.11.10;10.82.11.25"
"DS_DATA_BANKAI","VMFS","1023,75","425,97","597,78","58,39","True","2","3","10.82.11.10;10.82.11.25"
"DS_OS_BIGDATA-03","VMFS","99,75","94,28","5,47","5,48","True","2","1","10.82.11.10;10.82.11.25"
"DS_OS_XFILE_035","VMFS","499,75","367,19","132,56","26,53","True","2","0","10.82.11.10;10.82.11.25"
"DS_DATA_GFA","VMFS","999,75","998,04","1,71","0,17","True","1","0","10.82.11.25"
"DS_DATA_RAT-1","VMFS","4094,25","630,67","3463,58","84,60","True","2","1","10.82.11.10;10.82.11.25"
"DS_DATA_BKI","VMFS","12287,75","7302,75","4985,00","40,57","True","2","2","10.82.11.10;10.82.11.25"
"DS_DATA_DBSQL-2","VMFS","10239,75","3271,67","6968,08","68,05","True","1","0","10.82.11.25"
"DS_OS_RAT-1","VMFS","513,75","441,52","72,23","14,06","True","2","1","10.82.11.10;10.82.11.25"
"datastore1 (1)","VMFS","271,75","265,90","5,85","2,15","True","1","0","10.82.11.25"
"DS_PROJET_EZRA","VMFS","5119,75","918,26","4201,49","82,06","True","1","11","10.82.11.10"
"DS_OS_BBL","VMFS","499,75","480,03","19,72","3,95","True","1","2","10.82.11.25"
"DS_OS_GFA","VMFS","399,75","276,43","123,32","30,85","True","1","0","10.82.11.25"
"DS_OS_CTRIX","VMFS","5119,75","4646,83","472,92","9,24","True","1","0","10.82.11.25"
"DS_OS_DBSQL-2","VMFS","2047,75","1930,70","117,05","5,72","True","2","0","10.82.11.10;10.82.11.25"
"DS_OS_BIGDATA-00","VMFS","99,75","64,07","35,68","35,77","True","2","1","10.82.11.10;10.82.11.25"
"DS_OS_IME_TEST","VMFS","2047,75","1177,93","869,82","42,48","True","1","2","10.82.11.10"
"DS_DATA_RAT-2","VMFS","2038","828,82","1209,18","59,33","True","2","2","10.82.11.10;10.82.11.25"
"DS_OS_BIGDATA-04","VMFS","99,75","94,26","5,49","5,50","True","2","1","10.82.11.10;10.82.11.25"
"DS_IMAGES_ISO","VMFS","2047,75","810,62","1237,13","60,41","True","2","10","10.82.11.10;10.82.11.25"
"DS_DATA_BI-1","VMFS","6143,75","2247,72","3896,03","63,41","True","2","1","10.82.11.10;10.82.11.25"
"DS_OS_RAT-2","VMFS","499,75","453,53","46,22","9,25","True","2","1","10.82.11.10;10.82.11.25"
"DS_OS_BIGDATA-01","VMFS","99,75","94,29","5,46","5,47","True","2","1","10.82.11.10;10.82.11.25"
"DS_DATA_APP133","VMFS","2047,75","2045,84","1,91","0,09","True","1","0","10.82.11.25"
"DS_DATA_BI-3","VMFS","8191,75","3069,96","5121,79","62,52","True","2","0","10.82.11.10;10.82.11.25"
"DS_OS_APP133","VMFS","499,75","322,61","177,14","35,45","True","1","0","10.82.11.25"
"DS_OS_CDRS","VMFS","2047,75","969,40","1078,35","52,66","True","2","0","10.82.11.10;10.82.11.25"
