"EntityType","EntityName","Cluster","Metric","Unit","Samples","Average","P95","P99","Maximum","Minimum","FirstSample","LastSample"
"Host","10.82.11.10","","cpu.usage.average","%","358","33,5153","43,75","45,21","46,6","16,14","09/08/2026 22:00:00","08/09/2026 16:00:00"
"Host","10.82.11.10","","cpu.usagemhz.average","MHz","358","11429,1508","14918","15417","15891","5506","09/08/2026 22:00:00","08/09/2026 16:00:00"
"Host","10.82.11.10","","disk.usage.average","KBps","358","5596,5894","10137","16513","29936","2655","09/08/2026 22:00:00","08/09/2026 16:00:00"
"Host","10.82.11.10","","mem.consumed.average","KB","358","230894666,7374","230900026","230903132","230904741","230886081","09/08/2026 22:00:00","08/09/2026 16:00:00"
"Host","10.82.11.10","","mem.usage.average","%","358","52,93","52,93","52,93","52,93","52,93","09/08/2026 22:00:00","08/09/2026 16:00:00"
"Host","10.82.11.10","","net.usage.average","KBps","358","2432,4888","3929","4073","5505","868","09/08/2026 22:00:00","08/09/2026 16:00:00"
"Host","10.82.11.25","Cluster_DMZ","cpu.usage.average","%","358","1,6104","1,81","1,92","1,93","1,54","09/08/2026 22:00:00","08/09/2026 16:00:00"
"Host","10.82.11.25","Cluster_DMZ","cpu.usagemhz.average","MHz","358","550,7486","620","655","661","525","09/08/2026 22:00:00","08/09/2026 16:00:00"
"Host","10.82.11.25","Cluster_DMZ","disk.usage.average","KBps","358","2579,0503","2636","2986","3167","2388","09/08/2026 22:00:00","08/09/2026 16:00:00"
"Host","10.82.11.25","Cluster_DMZ","mem.consumed.average","KB","358","38654517,5196","38659123","38661398","38663510","38643988","09/08/2026 22:00:00","08/09/2026 16:00:00"
"Host","10.82.11.25","Cluster_DMZ","mem.usage.average","%","358","8,8587","8,86","8,86","8,86","8,85","09/08/2026 22:00:00","08/09/2026 16:00:00"
"Host","10.82.11.25","Cluster_DMZ","net.usage.average","KBps","358","40,9274","51","80","317","34","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","tg002vminf120","Cluster_DMZ","cpu.ready.summation","millisecond","358","5522,8743","6358","6802","7032","4432","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","tg002vminf120","Cluster_DMZ","cpu.usage.average","%","358","8,0156","8,21","8,45","8,56","7,76","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","tg002vminf120","Cluster_DMZ","cpu.usagemhz.average","MHz","358","341,2011","350","360","364","330","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","tg002vminf120","Cluster_DMZ","disk.usage.average","KBps","358","88,1425","90","651","668","74","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","tg002vminf120","Cluster_DMZ","mem.consumed.average","KB","358","10485515,919","10485760","10485760","10485760","10456633","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","tg002vminf120","Cluster_DMZ","mem.usage.average","%","358","20,317","21,27","21,72","22,17","18,87","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","tg002vminf120","Cluster_DMZ","mem.vmmemctl.average","KB","358","0","0","0","0","0","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","tg002vminf120","Cluster_DMZ","net.usage.average","KBps","358","114,2179","115","117","121","113","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBBL002","Cluster_DMZ","cpu.ready.summation","millisecond","358","5236,3436","5693","5972","6080","4513","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBBL002","Cluster_DMZ","cpu.usage.average","%","358","0,2961","0,58","0,85","0,88","0,24","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBBL002","Cluster_DMZ","cpu.usagemhz.average","MHz","358","25,1117","49","72","75","20","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBBL002","Cluster_DMZ","disk.usage.average","KBps","358","2,7263","13","27","138","0","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBBL002","Cluster_DMZ","mem.consumed.average","KB","358","11663269,5028","11663360","11663360","11663360","11630962","09/08/2026 22:00:00","08/09/2026 16:00:00"
