"VM","Cluster","Disk","CapacityGB","StorageFormat","Persistence","Filename"
"vCLS-de95cb6c-4ac9-481f-a759-8a1de8d1f4aa","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","2","Thin","Persistent","[DS_FLZN_DATA_REPDB_2(2)] vCLS-de95cb6c-4ac9-481f-a759-8a1de8d1f4aa/vCLS-de95cb6c-4ac9-481f-a759-8a1de8d1f4aa.vmdk"
"vCLS-480e8884-21ea-4b85-aa98-a11aeea5c965","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","2","Thin","Persistent","[DS_FLZN_DATA_REPDB_2(2)] vCLS-480e8884-21ea-4b85-aa98-a11aeea5c965/vCLS-480e8884-21ea-4b85-aa98-a11aeea5c965.vmdk"
"vCLS-9196713c-da6a-4dbb-bbe4-634160c064c2","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","2","Thin","Persistent","[DS_FLZN_DATA_REPDB_1(2)] vCLS-9196713c-da6a-4dbb-bbe4-634160c064c2/vCLS-9196713c-da6a-4dbb-bbe4-634160c064c2.vmdk"
"vproxy-fz","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","58,59","Thick","Persistent","[DS_FLZN_OS_APP] vproxy-fz/vproxy-fz.vmdk"
"vproxy-fz","CLUSTER_PF_FLOOZ_PROD","Hard disk 2","97,66","Thick","Persistent","[DS_FLZN_OS_APP] vproxy-fz/vproxy-fz_1.vmdk"
"TG002VMOCD001","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","300","Thin","Persistent","[DS_PROJET_OCD] TG002VMOCD001/TG002VMOCD001.vmdk"
"TG002VMOCD002","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","512","Thin","Persistent","[DS_PROJET_OCD] TG002VMOCD002/TG002VMOCD002.vmdk"
"TG002VMOCD003","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","512","Thick","Persistent","[DS_PROJET_OCD] TG002VMOCD003/TG002VMOCD003.vmdk"
"TG002VMOCD004","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","2048","Thick","Persistent","[DS_PROJET_OCD] TG002VMOCD004/TG002VMOCD004.vmdk"
"TG002VMOCD005","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","1024","Thin","Persistent","[DS_PROJET_OCD] TG002VMOCD005/TG002VMOCD005.vmdk"
"TG002VMAPP220","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","150","EagerZeroedThick","Persistent","[DS_OS_MPM] TG002VMAPP220/TG002VMAPP220-000001.vmdk"
"TG002VMCRD001","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","100","Thin","Persistent","[DS_COD_CREDABLE] TG002VMCRD001/TG002VMCRD001.vmdk"
"TG002VMCRD002","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","100","Thin","Persistent","[DS_COD_CREDABLE] TG002VMCRD002/TG002VMCRD002.vmdk"
"TG002VMCRD003","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","200","Thin","Persistent","[DS_COD_CREDABLE] TG002VMCRD003/TG002VMCRD003.vmdk"
"TG002VMCRD004","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","500","Thin","Persistent","[DS_COD_CREDABLE] TG002VMCRD004/TG002VMCRD004.vmdk"
"TG002VMCRD005","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","500","Thin","Persistent","[DS_COD_CREDABLE] TG002VMCRD005/TG002VMCRD005.vmdk"
"TG002VMCRD006","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","500","Thin","Persistent","[DS_COD_CREDABLE] TG002VMCRD006/TG002VMCRD006.vmdk"
"TG002VMCRD007","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","500","Thin","Persistent","[DS_COD_CREDABLE] TG002VMCRD007/TG002VMCRD007.vmdk"
"TG002VMCRD008","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","200","Thin","Persistent","[DS_COD_CREDABLE] TG002VMCRD008/TG002VMCRD008.vmdk"
"TG002VMCRD009","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","100","Thin","Persistent","[DS_COD_CREDABLE] TG002VMCRD009/TG002VMCRD009.vmdk"
"TG002VMCRD010","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","100","Thin","Persistent","[DS_COD_CREDABLE] TG002VMCRD010/TG002VMCRD010.vmdk"
"TG002VMCRD001_UAT","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","100","Thin","Persistent","[DS_COD_CREDABLE] TG002VMCRD001_UAT/TG002VMCRD001_UAT_1.vmdk"
"TG002VMCRD002_UAT","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","200","Thin","Persistent","[DS_COD_CREDABLE] TG002VMCRD002_UAT/TG002VMCRD002_UAT.vmdk"
"TG002VMCRD003_UAT","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","200","Thin","Persistent","[DS_COD_CREDABLE] TG002VMCRD003_UAT/TG002VMCRD003_UAT.vmdk"
"TG002VMCRD004_UAT","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","300","Thin","Persistent","[DS_COD_CREDABLE] TG002VMCRD004_UAT/TG002VMCRD004_UAT.vmdk"
"TG002VMAPP193","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","200","Thick","Persistent","[DS_OS_PORTING (1)] TG002VMANDMM/TG002VMANDMM.vmdk"
"TG002VMAPP193","CLUSTER_PF_FLOOZ_PROD","Hard disk 2","300","Thin","Persistent","[DS_DATA_APP133] TG002VMAPP193/TG002VMAPP193.vmdk"
"TG002VMAPP193","CLUSTER_PF_FLOOZ_PROD","Hard disk 3","1500","Thin","Persistent","[DS_DATA_APP133] TG002VMAPP193/TG002VMAPP193_1.vmdk"
"TG002VMINF107","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","48,56","Thin","Persistent","[DS_OS_VCT] TG002VMINF107/TG002VMINF107-000005.vmdk"
"TG002VMINF107","CLUSTER_PF_FLOOZ_PROD","Hard disk 2","6,91","Thin","Persistent","[DS_OS_VCT] TG002VMINF107/TG002VMINF107_1-000005.vmdk"
"TG002VMINF107","CLUSTER_PF_FLOOZ_PROD","Hard disk 3","25","Thin","Persistent","[DS_OS_VCT] TG002VMINF107/TG002VMINF107_2-000005.vmdk"
"TG002VMINF107","CLUSTER_PF_FLOOZ_PROD","Hard disk 4","25","Thin","Persistent","[DS_OS_VCT] TG002VMINF107/TG002VMINF107_3-000005.vmdk"
"TG002VMINF107","CLUSTER_PF_FLOOZ_PROD","Hard disk 5","10","Thin","Persistent","[DS_OS_VCT] TG002VMINF107/TG002VMINF107_4-000005.vmdk"
"TG002VMINF107","CLUSTER_PF_FLOOZ_PROD","Hard disk 6","10","Thin","Persistent","[DS_OS_VCT] TG002VMINF107/TG002VMINF107_5-000005.vmdk"
"TG002VMINF107","CLUSTER_PF_FLOOZ_PROD","Hard disk 7","15","Thin","Persistent","[DS_OS_VCT] TG002VMINF107/TG002VMINF107_6-000005.vmdk"
"TG002VMINF107","CLUSTER_PF_FLOOZ_PROD","Hard disk 8","10","Thin","Persistent","[DS_OS_VCT] TG002VMINF107/TG002VMINF107_7-000005.vmdk"
"TG002VMINF107","CLUSTER_PF_FLOOZ_PROD","Hard disk 9","1","Thin","Persistent","[DS_OS_VCT] TG002VMINF107/TG002VMINF107_8-000005.vmdk"
"TG002VMINF107","CLUSTER_PF_FLOOZ_PROD","Hard disk 10","10","Thin","Persistent","[DS_OS_VCT] TG002VMINF107/TG002VMINF107_9-000005.vmdk"
"TG002VMINF107","CLUSTER_PF_FLOOZ_PROD","Hard disk 11","10","Thin","Persistent","[DS_OS_VCT] TG002VMINF107/TG002VMINF107_10-000005.vmdk"
"TG002VMINF107","CLUSTER_PF_FLOOZ_PROD","Hard disk 12","100","Thin","Persistent","[DS_OS_VCT] TG002VMINF107/TG002VMINF107_11-000005.vmdk"
"TG002VMINF107","CLUSTER_PF_FLOOZ_PROD","Hard disk 13","50","Thin","Persistent","[DS_OS_VCT] TG002VMINF107/TG002VMINF107_12-000005.vmdk"
"TG002VMINF107","CLUSTER_PF_FLOOZ_PROD","Hard disk 14","10","Thin","Persistent","[DS_OS_VCT] TG002VMINF107/TG002VMINF107_13-000005.vmdk"
"TG002VMINF107","CLUSTER_PF_FLOOZ_PROD","Hard disk 15","5","Thin","Persistent","[DS_OS_VCT] TG002VMINF107/TG002VMINF107_14-000005.vmdk"
"TG002VMINF107","CLUSTER_PF_FLOOZ_PROD","Hard disk 16","100","Thin","Persistent","[DS_OS_VCT] TG002VMINF107/TG002VMINF107_15-000005.vmdk"
"TG002VMINF107","CLUSTER_PF_FLOOZ_PROD","Hard disk 17","150","Thin","Persistent","[DS_OS_VCT] TG002VMINF107/TG002VMINF107_16-000005.vmdk"
"TEST-01","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","90","Thick","Persistent","[DS_FLZN_DATA_API_1] TEST-01/TEST-01.vmdk"
"TEST-02","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","90","Thick","Persistent","[DS_FLZN_DATA_API_1] TEST-02/TEST-02.vmdk"
"TG002VMAPI210","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","500","Thick","Persistent","[DS_FLZN_OS_API_1] TG002VMAPI210/TG002VMAPI210.vmdk"
"TG002VMAPI211","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","500","Thick","Persistent","[DS_FLZN_OS_API_2] TG002VMAPI211/TG002VMAPI211.vmdk"
"TG002VMDBO218","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","1024","Thick","Persistent","[DS_FLZN_OS_BD_1] TG002VMDBO218/TG002VMDBO218.vmdk"
"TG002VMDBO218","CLUSTER_PF_FLOOZ_PROD","Hard disk 2","2048","Thick","Persistent","[DS_FLZN_DATA_BD_1] TG002VMDBO218/TG002VMDBO218.vmdk"
"TG002VMDBO218","CLUSTER_PF_FLOOZ_PROD","Hard disk 3","2048","Thick","Persistent","[DS_FLZN_DATA_BD_1] TG002VMDBO218/TG002VMDBO218_1.vmdk"
"TG002VMDBO218","CLUSTER_PF_FLOOZ_PROD","Hard disk 4","2048","Thick","Persistent","[DS_FLZN_DATA_BD_1] TG002VMDBO218/TG002VMDBO218_2.vmdk"
"TG002VMDBO218","CLUSTER_PF_FLOOZ_PROD","Hard disk 5","2048","Thick","Persistent","[DS_FLZN_DATA_BD_1] TG002VMDBO218/TG002VMDBO218_3.vmdk"
"TG002VMDBO218","CLUSTER_PF_FLOOZ_PROD","Hard disk 6","2048","Thick","Persistent","[DS_FLZN_DATA_BD_1] TG002VMDBO218/TG002VMDBO218_4.vmdk"
"TG002VMDBO219","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","1024","Thick","Persistent","[DS_FLZN_OS_BD_2] TG002VMDBO219/TG002VMDBO219.vmdk"
"TG002VMDBO219","CLUSTER_PF_FLOOZ_PROD","Hard disk 2","2048","EagerZeroedThick","Persistent","[DS_FLZN_DATA_BD] TG002VMDBO219/TG002VMDBO219.vmdk"
"TG002VMDBO219","CLUSTER_PF_FLOOZ_PROD","Hard disk 3","2048","EagerZeroedThick","Persistent","[DS_FLZN_DATA_BD] TG002VMDBO219/TG002VMDBO219_1.vmdk"
"TG002VMDBO219","CLUSTER_PF_FLOOZ_PROD","Hard disk 4","2048","EagerZeroedThick","Persistent","[DS_FLZN_DATA_BD] TG002VMDBO219/TG002VMDBO219_2.vmdk"
"TG002VMDBO219","CLUSTER_PF_FLOOZ_PROD","Hard disk 5","2048","EagerZeroedThick","Persistent","[DS_FLZN_DATA_BD] TG002VMDBO219/TG002VMDBO219_3.vmdk"
"TG002VMDBO219","CLUSTER_PF_FLOOZ_PROD","Hard disk 6","2048","EagerZeroedThick","Persistent","[DS_FLZN_DATA_BD] TG002VMDBO219/TG002VMDBO219_4.vmdk"
"TG002VMAPP214","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","500","Thick","Persistent","[DS_FLZN_OS_APP_1] TG002VMAPP214/TG002VMAPP214.vmdk"
"TG002VMAPP215","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","500","Thick","Persistent","[DS_FLZN_OS_APP_2] TG002VMAPP215/TG002VMAPP215.vmdk"
"TG002VMIWB220","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","500","Thick","Persistent","[DS_FLZN_OS_IWB_1] TG002VMIWB220/TG002VMIWB220.vmdk"
"TG002VMIWB220","CLUSTER_PF_FLOOZ_PROD","Hard disk 2","500","Thick","Persistent","[DS_FLZN_DATA_IWB_1] TG002VMIWB220/TG002VMIWB220.vmdk"
"TG002VMIWB220","CLUSTER_PF_FLOOZ_PROD","Hard disk 3","500","Thick","Persistent","[DS_FLZN_DATA_IWB_1] TG002VMIWB220/TG002VMIWB220_1.vmdk"
"TG002VMIWB221","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","500","Thick","Persistent","[DS_FLZN_OS_IWB_2] TG002VMIWB221/TG002VMIWB221.vmdk"
