"Datastore","Type","CapacityGB","FreeSpaceGB","UsedSpaceGB","UsedPercent","Accessible","HostCount","VMCount","Hosts"
"DS_OS_GFA","VMFS","399,75","276,42","123,33","30,85","True","2","0","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_DATA_RELEVES_n","VMFS","15359,75","214,96","15144,79","98,60","True","2","0","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_OS_RELEVES","VMFS","399","160,08","238,92","59,88","True","2","0","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_DATA_APP133","VMFS","2047,75","2045,84","1,91","0,09","True","2","1","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_OS_RMM","VMFS","499,75","436,14","63,61","12,73","True","2","0","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_OS_APP_3","VMFS","1023,75","490,00","533,75","52,14","True","2","1","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_OS_MPM","VMFS","2047,75","1727,69","320,06","15,63","True","2","1","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_DATA_IWB_1","VMFS","2047,75","1046,30","1001,45","48,91","True","2","1","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_OS_BD_2","VMFS","1535,75","445,87","1089,88","70,97","True","2","1","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_DATA_EWB","VMFS","4095,75","3094,28","1001,47","24,45","True","2","2","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_DATA_APP_2","VMFS","2047,75","2046,31","1,44","0,07","True","2","0","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_DATA_BD_3","VMFS","3071,75","3070,29","1,46","0,05","True","2","0","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_DATA_REPDB_1(2)","VMFS","11263,75","10405,56","858,19","7,62","True","2","2","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_OS_CTRIX","VMFS","5119,75","4646,84","472,91","9,24","True","2","0","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_DATA_IWB_2","VMFS","2047,75","1022,30","1025,45","50,08","True","2","1","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_DATA_USD_1","VMFS","2047,75","2046,31","1,44","0,07","True","2","0","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_OS_ARIA","VMFS","499,75","208,25","291,50","58,33","True","2","0","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_DATA_IVR","VMFS","4095,75","4094,28","1,47","0,04","True","2","0","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_DATA_REPDB_2(2)","VMFS","11263,75","11258,37","5,38","0,05","True","2","2","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_OS_MTR_2","VMFS","2047,75","1482,00","565,75","27,63","True","2","1","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_DATA_BD_1","VMFS","10751,75","509,83","10241,92","95,26","True","2","1","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_OS_SMSC_2","VMFS","1023,75","522,33","501,42","48,98","True","2","1","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"ESXI02LDS","VMFS","150,75","149,34","1,41","0,93","True","1","0","tg002pminf046.moov-africa.tg"
"DS_FLZN_DATA_USSD","VMFS","4095,75","4023,17","72,58","1,77","True","2","1","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_OS_3PP(2)","VMFS","4095,75","3094,28","1001,47","24,45","True","2","2","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_OS_APP_2","VMFS","1023,75","490,02","533,73","52,13","True","2","1","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_DATA_BD_4","VMFS","3071,75","3070,29","1,46","0,05","True","2","0","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_OS_BD_3","VMFS","499,75","498,34","1,41","0,28","True","2","0","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_DATA_REPDB_1","VMFS","11751,75","485,78","11265,97","95,87","True","2","1","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_OS_EWB_2","VMFS","1023,75","458,04","565,71","55,26","True","2","1","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_OS_MTR_1","VMFS","2047,75","1481,99","565,76","27,63","True","2","1","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_OS_BD_1","VMFS","1535,75","445,89","1089,86","70,97","True","2","1","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
