"Host","Cluster","Device","Type","Model","Status","Driver","Pci","WWN","IScsiName"
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmhba0","Block","Lewisburg SATA AHCI Controller","unknown","vmw_ahci","0000:00:11.5","",
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmhba1","Block","Lewisburg SATA AHCI Controller","unknown","vmw_ahci","0000:00:17.0","",
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmhba2","Block","PERC H730P Adapter","unknown","lsi_mr3","0000:18:00.0","",
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmhba3","FibreChannel","QLE2692 Dual Port 16Gb Fibre Channel to PCIe Adapter","online","qlnativefc","0000:6d:00.0","2000F4C7AA0725CC",
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmhba4","FibreChannel","QLE2692 Dual Port 16Gb Fibre Channel to PCIe Adapter","online","qlnativefc","0000:6d:00.1","2000F4C7AA0725CD",
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmhba5","FibreChannel","QLE2692 Dual Port 16Gb Fibre Channel to PCIe Adapter","online","qlnativefc","0000:6e:00.0","2000F4C7AA0729AE",
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmhba6","FibreChannel","QLE2692 Dual Port 16Gb Fibre Channel to PCIe Adapter","online","qlnativefc","0000:6e:00.1","2000F4C7AA0729AF",
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmhba64","FibreChannel","QLE2692 Dual Port 16Gb Fibre Channel to PCIe Adapter","online","qlnativefc","0000:6d:00.0","2000F4C7AA0725CC",
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmhba65","FibreChannel","QLE2692 Dual Port 16Gb Fibre Channel to PCIe Adapter","online","qlnativefc","0000:6d:00.1","2000F4C7AA0725CD",
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmhba66","FibreChannel","QLE2692 Dual Port 16Gb Fibre Channel to PCIe Adapter","online","qlnativefc","0000:6e:00.0","2000F4C7AA0729AE",
"tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmhba67","FibreChannel","QLE2692 Dual Port 16Gb Fibre Channel to PCIe Adapter","online","qlnativefc","0000:6e:00.1","2000F4C7AA0729AF",
"tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmhba0","Block","Lewisburg SATA AHCI Controller","unknown","vmw_ahci","0000:00:11.5","",
"tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmhba1","Block","Lewisburg SATA AHCI Controller","unknown","vmw_ahci","0000:00:17.0","",
"tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmhba2","Block","PERC H730P Adapter","unknown","lsi_mr3","0000:18:00.0","",
"tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmhba3","FibreChannel","QLE2692 Dual Port 16Gb Fibre Channel to PCIe Adapter","online","qlnativefc","0000:6d:00.0","2000F4C7AA07286C",
"tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmhba4","FibreChannel","QLE2692 Dual Port 16Gb Fibre Channel to PCIe Adapter","online","qlnativefc","0000:6d:00.1","2000F4C7AA07286D",
"tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmhba5","FibreChannel","QLE2692 Dual Port 16Gb Fibre Channel to PCIe Adapter","online","qlnativefc","0000:6e:00.0","2000F4C7AA07285C",
"tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmhba6","FibreChannel","QLE2692 Dual Port 16Gb Fibre Channel to PCIe Adapter","online","qlnativefc","0000:6e:00.1","2000F4C7AA07285D",
"tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmhba64","FibreChannel","QLE2692 Dual Port 16Gb Fibre Channel to PCIe Adapter","online","qlnativefc","0000:6d:00.0","2000F4C7AA07286C",
"tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmhba65","FibreChannel","QLE2692 Dual Port 16Gb Fibre Channel to PCIe Adapter","online","qlnativefc","0000:6d:00.1","2000F4C7AA07286D",
"tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmhba66","FibreChannel","QLE2692 Dual Port 16Gb Fibre Channel to PCIe Adapter","online","qlnativefc","0000:6e:00.0","2000F4C7AA07285C",
"tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","vmhba67","FibreChannel","QLE2692 Dual Port 16Gb Fibre Channel to PCIe Adapter","online","qlnativefc","0000:6e:00.1","2000F4C7AA07285D",
