"EntityType","EntityName","Cluster","Metric","Unit","Samples","Average","P95","P99","Maximum","Minimum","FirstSample","LastSample"
"Host","tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","cpu.usage.average","%","358","4,7827","5,73","5,83","5,97","3,59","10/08/2026 00:00:00","08/09/2026 18:00:00"
"Host","tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","cpu.usagemhz.average","MHz","358","14450,919","17296","17605","18028","10854","10/08/2026 00:00:00","08/09/2026 18:00:00"
"Host","tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","disk.usage.average","KBps","358","23978,0223","39062","39721","42468","16016","10/08/2026 00:00:00","08/09/2026 18:00:00"
"Host","tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","mem.consumed.average","KB","358","550692315,8827","552154489","552258262","552279042","549109326","10/08/2026 00:00:00","08/09/2026 18:00:00"
"Host","tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","mem.usage.average","%","358","51,3089","51,44","51,45","51,46","51,16","10/08/2026 00:00:00","08/09/2026 18:00:00"
"Host","tg002pminf045.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","net.usage.average","KBps","358","267,3575","503","519","525","237","10/08/2026 00:00:00","08/09/2026 18:00:00"
"Host","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","cpu.usage.average","%","358","2,6857","3,39","3,43","3,64","2,26","10/08/2026 00:00:00","08/09/2026 18:00:00"
"Host","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","cpu.usagemhz.average","MHz","358","8123,9804","10252","10358","11021","6835","10/08/2026 00:00:00","08/09/2026 18:00:00"
"Host","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","disk.usage.average","KBps","358","7487,1313","7851","26557","85178","6031","10/08/2026 00:00:00","08/09/2026 18:00:00"
"Host","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","mem.consumed.average","KB","358","423427229,3575","432498659","433259937","433417297","413369191","10/08/2026 00:00:00","08/09/2026 18:00:00"
"Host","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","mem.usage.average","%","358","39,4509","40,3","40,37","40,38","38,51","10/08/2026 00:00:00","08/09/2026 18:00:00"
"Host","tg002pminf046.moov-africa.tg","CLUSTER_PF_FLOOZ_PROD","net.usage.average","KBps","358","224,7905","278","356","702","206","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPP193","CLUSTER_PF_FLOOZ_PROD","cpu.ready.summation","millisecond","358","49212,0503","72667","76652","79755","26129","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPP193","CLUSTER_PF_FLOOZ_PROD","cpu.usage.average","%","358","0,6591","1,06","1,16","1,71","0,3","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPP193","CLUSTER_PF_FLOOZ_PROD","cpu.usagemhz.average","MHz","358","142,8464","229","250","369","65","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPP193","CLUSTER_PF_FLOOZ_PROD","disk.usage.average","KBps","358","48,7709","88","418","709","16","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPP193","CLUSTER_PF_FLOOZ_PROD","mem.consumed.average","KB","358","20714191,8101","26760490","26760516","26760539","11807686","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPP193","CLUSTER_PF_FLOOZ_PROD","mem.usage.average","%","358","2,3841","3,75","4,08","8,16","1,12","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPP193","CLUSTER_PF_FLOOZ_PROD","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPP193","CLUSTER_PF_FLOOZ_PROD","net.usage.average","KBps","358","0,5251","1","6","111","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMBKP102","CLUSTER_PF_FLOOZ_PROD","cpu.ready.summation","millisecond","358","5827,0419","6043","6142","6266","5197","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMBKP102","CLUSTER_PF_FLOOZ_PROD","cpu.usage.average","%","358","0,048","0,05","0,05","0,05","0,04","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMBKP102","CLUSTER_PF_FLOOZ_PROD","cpu.usagemhz.average","MHz","358","10,8436","11","11","12","10","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMBKP102","CLUSTER_PF_FLOOZ_PROD","disk.usage.average","KBps","358","0,0559","1","1","1","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMBKP102","CLUSTER_PF_FLOOZ_PROD","mem.consumed.average","KB","358","2187872,3966","2191360","2191360","2191360","2172928","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMBKP102","CLUSTER_PF_FLOOZ_PROD","mem.usage.average","%","358","0,9904","0,99","1,01","1,02","0,99","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMBKP102","CLUSTER_PF_FLOOZ_PROD","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMBKP102","CLUSTER_PF_FLOOZ_PROD","net.usage.average","KBps","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","vproxy-fz","CLUSTER_PF_FLOOZ_PROD","cpu.ready.summation","millisecond","358","9621,6397","10282","10498","10934","8718","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","vproxy-fz","CLUSTER_PF_FLOOZ_PROD","cpu.usage.average","%","358","0,2642","0,27","0,28","0,28","0,25","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","vproxy-fz","CLUSTER_PF_FLOOZ_PROD","cpu.usagemhz.average","MHz","358","28,5223","29","30","30","27","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","vproxy-fz","CLUSTER_PF_FLOOZ_PROD","disk.usage.average","KBps","358","13,9274","25","26","26","2","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","vproxy-fz","CLUSTER_PF_FLOOZ_PROD","mem.consumed.average","KB","358","8329022,1145","8329216","8329216","8329216","8306079","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","vproxy-fz","CLUSTER_PF_FLOOZ_PROD","mem.usage.average","%","358","1,9271","2,18","2,28","2,42","1,49","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","vproxy-fz","CLUSTER_PF_FLOOZ_PROD","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","vproxy-fz","CLUSTER_PF_FLOOZ_PROD","net.usage.average","KBps","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMOCD005","CLUSTER_PF_FLOOZ_PROD","cpu.ready.summation","millisecond","358","16228,0251","18042","18989","19626","13684","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMOCD005","CLUSTER_PF_FLOOZ_PROD","cpu.usage.average","%","358","0,1098","0,18","0,22","0,25","0,08","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMOCD005","CLUSTER_PF_FLOOZ_PROD","cpu.usagemhz.average","MHz","358","24,5363","40","49","55","17","10/08/2026 00:00:00","08/09/2026 18:00:00"
