"Host","Cluster","ConnectionState","PowerState","Manufacturer","Model","SerialNumber","ProcessorType","CPUModelDetailed","CpuSockets","CpuCores","CpuThreads","CoresPerSocket","ThreadsPerCore","CpuTotalGHz","MemoryTotalGB","ESXiVersion","ESXiBuild","Parent","IsStandalone"
"10.80.18.70","Cluster_DWH","Connected","PoweredOn","HPE","ProLiant DL580 Gen10","CZJ82102ZG","Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz","Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz","4","96","96","24","1","201,12","1023,67","8.0.3","24674464","Cluster_DWH","False"
"10.80.18.75","Cluster_DWH","Connected","PoweredOn","HPE","ProLiant DL580 Gen10","CZJ82102ZJ","Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz","Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz","4","96","192","24","2","201,12","1023,68","8.0.3","24674464","Cluster_DWH","False"
"10.80.18.118","Cluster_PF_SAGE","Connected","PoweredOn","Dell Inc.","PowerEdge R940","DVW3HR3","Intel(R) Xeon(R) Platinum 8280L CPU @ 2.70GHz","Intel(R) Xeon(R) Platinum 8280L CPU @ 2.70GHz","4","112","224","28","2","301,62","1023,46","8.0.1","21813344","Cluster_PF_SAGE","False"
"10.80.18.117","Cluster_PF_SAGE","Connected","PoweredOn","Dell Inc.","PowerEdge R940","98YBGR3","Intel(R) Xeon(R) Platinum 8280L CPU @ 2.70GHz","Intel(R) Xeon(R) Platinum 8280L CPU @ 2.70GHz","4","112","224","28","2","301,62","1023,46","8.0.1","21813344","Cluster_PF_SAGE","False"
"10.80.18.10","Cluster_BSS","Connected","PoweredOn","HP","ProLiant DL580 Gen9","CZJ624032Y","Intel(R) Xeon(R) CPU E7-8890 v3 @ 2.50GHz","Intel(R) Xeon(R) CPU E7-8890 v3 @ 2.50GHz","4","72","144","18","2","179,5","1023,88","8.0.2","22380479","Cluster_BSS","False"
"10.80.18.5","Cluster_BSS","Connected","PoweredOn","HP","ProLiant DL580 Gen9","CZJ624032Z","Intel(R) Xeon(R) CPU E7-8890 v3 @ 2.50GHz","Intel(R) Xeon(R) CPU E7-8890 v3 @ 2.50GHz","4","72","144","18","2","179,5","1023,88","8.0.2","22380479","Cluster_BSS","False"
"10.80.18.18","Cluster_ESS","Connected","PoweredOn","HP","ProLiant DL580 Gen9","CZJ7270K6K","Intel(R) Xeon(R) CPU E7-8890 v4 @ 2.20GHz","Intel(R) Xeon(R) CPU E7-8890 v4 @ 2.20GHz","4","96","192","24","2","210,62","767,88","8.0.2","22380479","Cluster_ESS","False"
"10.80.18.19","Cluster_ESS","Connected","PoweredOn","HP","ProLiant DL580 Gen9","CZJ7270K6J","Intel(R) Xeon(R) CPU E7-8890 v4 @ 2.20GHz","Intel(R) Xeon(R) CPU E7-8890 v4 @ 2.20GHz","4","96","192","24","2","210,62","1023,88","8.0.2","22380479","Cluster_ESS","False"
"10.80.18.116","Cluster_PF_BSS","Connected","PoweredOn","Dell Inc.","PowerEdge R940","CVW3HR3","Intel(R) Xeon(R) Platinum 8280L CPU @ 2.70GHz","Intel(R) Xeon(R) Platinum 8280L CPU @ 2.70GHz","4","112","224","28","2","301,62","1023,46","8.0.1","21813344","Cluster_PF_BSS","False"
"10.80.18.115","Cluster_PF_BSS","Connected","PoweredOn","Dell Inc.","PowerEdge R940","790QQR3","Intel(R) Xeon(R) Platinum 8280L CPU @ 2.70GHz","Intel(R) Xeon(R) Platinum 8280L CPU @ 2.70GHz","4","112","224","28","2","301,62","1023,46","8.0.1","21813344","Cluster_PF_BSS","False"
"10.80.18.24","Cluster_SAGE","Connected","PoweredOn","HP","ProLiant DL580 Gen9","CZJ7270K6M","Intel(R) Xeon(R) CPU E7-8890 v4 @ 2.20GHz","Intel(R) Xeon(R) CPU E7-8890 v4 @ 2.20GHz","4","96","192","24","2","210,62","1023,88","8.0.2","22380479","Cluster_SAGE","False"
"10.80.18.23","Cluster_SAGE","Connected","PoweredOn","HP","ProLiant DL580 Gen9","CZJ7270K6L","Intel(R) Xeon(R) CPU E7-8890 v4 @ 2.20GHz","Intel(R) Xeon(R) CPU E7-8890 v4 @ 2.20GHz","4","96","192","24","2","210,62","1023,88","8.0.2","22380479","Cluster_SAGE","False"
