"VM","Cluster","Disk","CapacityGB","StorageFormat","Persistence","Filename"
"TG002VMINF122","Cluster_SAGE","Hard disk 1","48,56","Thin","Persistent","[DS_VCENTER_PROD] TG002VMINF122/TG002VMINF122-000001.vmdk"
"TG002VMINF122","Cluster_SAGE","Hard disk 2","6,87","Thin","Persistent","[DS_VCENTER_PROD] TG002VMINF122/TG002VMINF122_1-000001.vmdk"
"TG002VMINF122","Cluster_SAGE","Hard disk 3","25","Thin","Persistent","[DS_VCENTER_PROD] TG002VMINF122/TG002VMINF122_2-000001.vmdk"
"TG002VMINF122","Cluster_SAGE","Hard disk 4","50","Thin","Persistent","[DS_VCENTER_PROD] TG002VMINF122/TG002VMINF122_3-000001.vmdk"
"TG002VMINF122","Cluster_SAGE","Hard disk 5","10","Thin","Persistent","[DS_VCENTER_PROD] TG002VMINF122/TG002VMINF122_4-000001.vmdk"
"TG002VMINF122","Cluster_SAGE","Hard disk 6","10","Thin","Persistent","[DS_VCENTER_PROD] TG002VMINF122/TG002VMINF122_5-000001.vmdk"
"TG002VMINF122","Cluster_SAGE","Hard disk 7","15","Thin","Persistent","[DS_VCENTER_PROD] TG002VMINF122/TG002VMINF122_6-000001.vmdk"
"TG002VMINF122","Cluster_SAGE","Hard disk 8","550","Thin","Persistent","[DS_VCENTER_PROD] TG002VMINF122/TG002VMINF122_7-000001.vmdk"
"TG002VMINF122","Cluster_SAGE","Hard disk 9","1","Thin","Persistent","[DS_VCENTER_PROD] TG002VMINF122/TG002VMINF122_8-000001.vmdk"
"TG002VMINF122","Cluster_SAGE","Hard disk 10","10","Thin","Persistent","[DS_VCENTER_PROD] TG002VMINF122/TG002VMINF122_9-000001.vmdk"
"TG002VMINF122","Cluster_SAGE","Hard disk 11","10","Thin","Persistent","[DS_VCENTER_PROD] TG002VMINF122/TG002VMINF122_10-000001.vmdk"
"TG002VMINF122","Cluster_SAGE","Hard disk 12","100","Thin","Persistent","[DS_VCENTER_PROD] TG002VMINF122/TG002VMINF122_11-000001.vmdk"
"TG002VMINF122","Cluster_SAGE","Hard disk 13","50","Thin","Persistent","[DS_VCENTER_PROD] TG002VMINF122/TG002VMINF122_12-000001.vmdk"
"TG002VMINF122","Cluster_SAGE","Hard disk 14","550","Thin","Persistent","[DS_VCENTER_PROD] TG002VMINF122/TG002VMINF122_13-000001.vmdk"
"TG002VMINF122","Cluster_SAGE","Hard disk 15","15","Thin","Persistent","[DS_VCENTER_PROD] TG002VMINF122/TG002VMINF122_14-000001.vmdk"
"TG002VMINF122","Cluster_SAGE","Hard disk 16","100","Thin","Persistent","[DS_VCENTER_PROD] TG002VMINF122/TG002VMINF122_15-000001.vmdk"
"TG002VMINF122","Cluster_SAGE","Hard disk 17","500","Thin","Persistent","[DS_VCENTER_PROD] TG002VMINF122/TG002VMINF122_16-000001.vmdk"
"TG002VMFIL031","Cluster_PF_SAGE","Hard disk 1","300","Thin","Persistent","[DS_OS_XFILE-1] TG002VMFIL031/TG002VMFIL031_8.vmdk"
"TG002VMFIL031","Cluster_PF_SAGE","Hard disk 2","2048","Thin","Persistent","[DS_DATA_XFILE-1] TG002VMFIL031/TG002VMFIL031_7.vmdk"
"TG002VMFIL031","Cluster_PF_SAGE","Hard disk 3","2548","Thin","Persistent","[DS_DATA_XFILE-1] TG002VMFIL031/TG002VMFIL031_4.vmdk"
"TG002VMFIL031","Cluster_PF_SAGE","Hard disk 4","500","Thin","Persistent","[DS_DATA_XFILE-1] TG002VMFIL031/TG002VMFIL031_5.vmdk"
"TG002VMFIL031","Cluster_PF_SAGE","Hard disk 5","500","Thin","Persistent","[DS_DATA_XFILE-1] TG002VMFIL031/TG002VMFIL031_9.vmdk"
"TG002VMFIL031","Cluster_PF_SAGE","Hard disk 6","1024","Thin","Persistent","[DS_DATA_XFILE-1] TG002VMFIL031/TG002VMFIL031_1.vmdk"
"TG002VMFIL031","Cluster_PF_SAGE","Hard disk 7","500","Thin","Persistent","[DS_DATA_XFILE-1] TG002VMFIL031/TG002VMFIL031_6.vmdk"
"TG002VMFIL031","Cluster_PF_SAGE","Hard disk 8","500","Thin","Persistent","[DS_DATA_XFILE-1] TG002VMFIL031/TG002VMFIL031_2.vmdk"
"TG002VMFIL031","Cluster_PF_SAGE","Hard disk 9","4096","Thin","Persistent","[DS_DATA_XFILE-1] TG002VMFIL031/TG002VMFIL031_3.vmdk"
"TG002VMFIL031","Cluster_PF_SAGE","Hard disk 10","1024","Thin","Persistent","[DS_DATA_MFL-2] TG002VMFIL031/TG002VMFIL031.vmdk"
"TG002VMFIL031","Cluster_PF_SAGE","Hard disk 11","4096","Thin","Persistent","[DS_DATA_XFILE-2] TG002VMFIL031/TG002VMFIL031_10.vmdk"
"TG002VMFIL031","Cluster_PF_SAGE","Hard disk 12","3984","Thin","Persistent","[DS_DATA_XFILE-2] TG002VMFIL031/TG002VMFIL031_11.vmdk"
"TG002VMFIL031","Cluster_PF_SAGE","Hard disk 13","4096","Thin","Persistent","[DS_DATA_XFILE-2] TG002VMFIL031/TG002VMFIL031.vmdk"
"tg002vmfil033","Cluster_PF_SAGE","Hard disk 1","120","Thin","Persistent","[DS_OS_XFILE-1] tg002vmfil033/tg002vmfil033.vmdk"
