"VM","Cluster","Snapshot","Created","SizeGB","Description"
"TG002VMDATANODE01","Cluster_PF_BSS","VM Snapshot 07/03/2024 09:39:32","07/03/2024 09:39:41","357,94",""
"TG002VMBGS001 (tg001vmbip001)","Cluster_BSS","Snapshot de VM 29/11/2024 16:01:27","29/11/2024 16:01:44","248,56",""
"TG002VMBGS001 (tg001vmbip001)","Cluster_BSS","Snapshot de VM 31/12/2024 14:10:07","31/12/2024 14:10:25","12,72",""
"vROps-Manager2","Cluster_PF_SAGE","Snapshot de VM 05%252f02%252f2019 à 16:37:52","05/02/2019 15:38:27","144,69","avant vidange des logs"
"vROps-Manager2","Cluster_PF_SAGE","Snapshot de VM 14%252f05%252f2019 à 10:48:11","14/05/2019 10:48:31","51,92","Avant Upgrade 6.7 à 7.5"
"vROps-Manager2","Cluster_PF_SAGE","Etat Fonctionnel VM 07%252f02%252f2022, 11:37:51","07/02/2022 11:32:29","18,26",""
"TG002VMCTX003","Cluster_ESS","VM Snapshot 02/09/2024 23:39:42","02/09/2024 23:40:09","28,8",""
"TG002VMCTX003","Cluster_ESS","Snapshot de VM 16/10/2024 07:21:50","16/10/2024 07:24:38","12,14",""
"TG002VMCTX003","Cluster_ESS","Snapshot de VM 03/12/2024 07:01:39","03/12/2024 07:01:34","2,35",""
"TG002VMCTX003","Cluster_ESS","Snapshot de VM 23/06/2025 12:09:59","23/06/2025 12:15:03","2,75",""
"TG002VMCTX003","Cluster_ESS","VM Snapshot 16/12/2025 07:28:25","16/12/2025 07:30:14","2,45","Decembre 2025"
"vROps-Manager1","Cluster_SAGE","Snapshot de VM 14%252f05%252f2019 à 10:47:25","14/05/2019 10:48:00","196,73","Avant Upgrade 6.7 à 7.5"
"vROps-Manager1","Cluster_SAGE","Etat Fonctionnel de VM 07%252f02%252f2022, 11:40:04","07/02/2022 11:34:40","17,11",""
"TG002VMAPP176","Cluster_PF_BSS","VM Snapshot 17%2f10%2f2023 22:19:45","17/10/2023 22:17:01","5846,7",""
"TG002VMAPP176","Cluster_PF_BSS","VEEAM BACKUP TEMPORARY SNAPSHOT","13/03/2026 19:25:11","1843,52","Please do not delete this snapshot. It is being used by Veeam Backup."
"TG002VMAPP176","Cluster_PF_BSS","VEEAM BACKUP TEMPORARY SNAPSHOT","14/03/2026 02:06:25","0,36","Please do not delete this snapshot. It is being used by Veeam Backup."
"TG002VMAPP176","Cluster_PF_BSS","VEEAM BACKUP TEMPORARY SNAPSHOT","14/03/2026 02:48:49","0,07","Please do not delete this snapshot. It is being used by Veeam Backup."
"TG002VMAPP176","Cluster_PF_BSS","VEEAM BACKUP TEMPORARY SNAPSHOT","14/03/2026 03:30:20","0,07","Please do not delete this snapshot. It is being used by Veeam Backup."
"TG002VMAPP176","Cluster_PF_BSS","VEEAM BACKUP TEMPORARY SNAPSHOT","14/03/2026 04:13:14","0,07","Please do not delete this snapshot. It is being used by Veeam Backup."
"TG002VMAPP176","Cluster_PF_BSS","VEEAM BACKUP TEMPORARY SNAPSHOT","14/03/2026 10:03:21","0,89","Please do not delete this snapshot. It is being used by Veeam Backup."
"TG002VMAPP176","Cluster_PF_BSS","VEEAM BACKUP TEMPORARY SNAPSHOT","14/03/2026 10:44:37","0,14","Please do not delete this snapshot. It is being used by Veeam Backup."
"TG002VMAPP176","Cluster_PF_BSS","VEEAM BACKUP TEMPORARY SNAPSHOT","17/03/2026 11:49:00","6,91","Please do not delete this snapshot. It is being used by Veeam Backup."
"TG002VMAPP176","Cluster_PF_BSS","VEEAM BACKUP TEMPORARY SNAPSHOT","17/03/2026 12:32:27","0,16","Please do not delete this snapshot. It is being used by Veeam Backup."
"TG002VMAPP176","Cluster_PF_BSS","VEEAM BACKUP TEMPORARY SNAPSHOT","20/03/2026 10:04:36","8,02","Please do not delete this snapshot. It is being used by Veeam Backup."
"TG002VMAVS175","Cluster_PF_BSS","VM Snapshot 17/10/2023 09:19:26","17/10/2023 09:19:23","457,77",""
"TG002VMAVS175","Cluster_PF_BSS","VM Snapshot 18/10/2023 14:41:58","18/10/2023 14:41:57","29,99",""
"TG002VMAVS175_old","Cluster_SAGE","VM Snapshot 01%252f02%252f2023 10:23:01","01/02/2023 10:20:37","344,02","demandé par Hermess"
"TG002VMCTX002","Cluster_SAGE","VM Snapshot 20/05/2024 00:56:52","20/05/2024 00:58:25","56,28",""
"TG002VMCTX009","Cluster_SAGE","VM Snapshot 20/05/2024 00:58:33","20/05/2024 01:02:42","46,29",""
"TG002VMCTX009","Cluster_SAGE","Snapshot de VM 11/07/2025 21:34:29","11/07/2025 21:39:29","32,22",""
"TG002VMCTX010","Cluster_SAGE","VM Snapshot 20/05/2024 00:58:49","20/05/2024 01:00:22","42,93",""
"TG002VMCTX004","Cluster_SAGE","VM Snapshot 20/05/2024 00:57:29","20/05/2024 00:59:08","54,7",""
"TG002VMCTX008","Cluster_SAGE","VM Snapshot 20/05/2024 00:58:19","20/05/2024 00:59:52","38,27",""
"TG002VMCTX003_old","Cluster_SAGE","VM Snapshot 28%252f03%252f2023 10:21:22","28/03/2023 10:19:08","58,89","pour action sur les licences"
"TG002VMCTX003_old","Cluster_SAGE","VM Snapshot 20/05/2024 00:57:08","20/05/2024 01:01:22","31,42",""
"TG002VMCTX003_old","Cluster_SAGE","Snapshot de VM 30/07/2024 22:35:34","30/07/2024 22:44:08","18,73","BEFORE REINSTALL CITIX LICENSE"
"TG002VMCTX003_old","Cluster_SAGE","VM Snapshot 16/08/2024 11:08:39","16/08/2024 11:15:38","11,13",""
"TG002VMCTX003_old","Cluster_SAGE","VM Snapshot 21/08/2024 17:23:10","21/08/2024 17:30:25","3,92",""
"TG002VMCTX003_old","Cluster_SAGE","VM Snapshot 02/09/2024 23:39:11","02/09/2024 23:47:06","4,82",""
"TG002VMCTX001_old","Cluster_SAGE","VM Snapshot 20/05/2024 00:56:32","20/05/2024 01:00:46","52,83",""
"TG002VMCTX005","Cluster_SAGE","VM Snapshot 20/05/2024 00:57:56","20/05/2024 00:59:29","46,86",""
"TG002VMCTX011","Cluster_SAGE","VM Snapshot 20/05/2024 00:59:01","20/05/2024 01:00:45","184,49",""
"TG002VMREPO002","Cluster_PF_BSS","Snapshot de VM 18%252f05%252f2023 11:45:51","18/05/2023 11:43:15","433,46",""
"TG002VMREPO001","Cluster_PF_BSS","Snapshot de VM 18%252f05%252f2023 11:45:34","18/05/2023 11:42:57","184,24",""
"TG002VMREPO001","Cluster_PF_BSS","samir","20/08/2025 10:09:43","181,16",""
"TG002VMWEB130","Cluster_SAGE","Snapshot de VM 28/01/2025 12:16:44","28/01/2025 12:19:44","25,39",""
"TG002VMAAD001","Cluster_PF_BSS","VM Snapshot 23/07/2026 23:16:31","23/07/2026 23:16:38","46,8",""
"TG002VMREP001_old","Cluster_BSS","Avant Ajout Disque","09/08/2024 13:35:18","49,44","Avant Ajout Disque"
"TG002VMQRAD005","Cluster_ESS","Snapshot de VM 26/03/2025 12:37:43","26/03/2025 12:40:40","30,29",""
"TG002VMQRAD005","Cluster_ESS","Snapshot de VM 28/03/2025 09:22:15","28/03/2025 09:25:22","5,94",""
"TG002VMQRAD005","Cluster_ESS","Snapshot de VM 03/04/2025 10:02:24","03/04/2025 10:06:30","70,67",""
"TG002VMQRAD005","Cluster_ESS","Snapshot de VM 04/04/2025 11:53:07","04/04/2025 11:57:15","26,5",""
"TG002VMAPPHOST005","Cluster_ESS","Snapshot de VM 26/03/2025 12:37:56","26/03/2025 12:40:52","22,45",""
"TG002VMAPPHOST005","Cluster_ESS","Snapshot de VM 28/03/2025 09:22:34","28/03/2025 09:25:39","5,34",""
"TG002VMAPPHOST005","Cluster_ESS","Snapshot de VM 03/04/2025 10:02:35","03/04/2025 10:06:39","38,53",""
"TG002VMAPPHOST005","Cluster_ESS","Snapshot de VM 04/04/2025 11:53:19","04/04/2025 11:57:26","5,35",""
"TG002VMINF122","Cluster_SAGE","VM Snapshot 22/10/2025 12:31:42","22/10/2025 12:33:13","238,98","before Update Tshoot"
"TG002WLC001","Cluster_DWH","Snapshot de VM 14%252f05%252f2025 18:42:31","14/05/2025 18:50:11","6,21",""
"TG002WLC001","Cluster_DWH","Snapshot de VM 19%252f05%252f2025 18:50:48","19/05/2025 18:58:28","1,27",""
