"Datastore","Type","CapacityGB","FreeSpaceGB","UsedSpaceGB","UsedPercent","Accessible","HostCount","VMCount","Hosts"
"datastore1 (10)","VMFS","271,75","270,34","1,41","0,52","True","1","0","10.80.18.75"
"DS_OS_Selfcare","VMFS","799,75","343,97","455,78","56,99","True","2","3","10.80.18.70;10.80.18.75"
"DS_OS_NVL_ICT","VMFS","199,75","142,50","57,25","28,66","True","2","1","10.80.18.70;10.80.18.75"
"DS_DATA_Xfile_1Tb","VMFS","1023,75","24,35","999,40","97,62","True","12","1","10.80.18.70;10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_GFA","VMFS","999,75","998,04","1,71","0,17","True","12","2","10.80.18.70;10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_GFA","VMFS","399,75","276,43","123,32","30,85","True","12","2","10.80.18.70;10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_CDR171","VMFS","1228,75","259,52","969,23","78,88","True","8","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_XFILES_004","VMFS","20479,75","3841,58","16638,17","81,24","True","8","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_RELEVES","VMFS","399","160,05","238,95","59,89","True","11","1","10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_FLZN_OS_RMM","VMFS","499,75","436,14","63,61","12,73","True","11","1","10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_CTRIX","VMFS","5119,75","4646,83","472,92","9,24","True","12","8","10.80.18.70;10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"datastore1","VMFS","150,75","144,58","6,17","4,09","True","1","0","10.80.18.115"
