"Host","Cluster","PortGroup","VLanId","VirtualSwitch","Type"
"10.80.18.70","Cluster_DWH","DEPI","0","DEPI-VSW","Standard"
"10.80.18.70","Cluster_DWH","DSI","0","DSI-VSW","Standard"
"10.80.18.70","Cluster_DWH","Trunk-Netwotk","4095","vSwitch-Trunk","Standard"
"10.80.18.70","Cluster_DWH","VMkernel","0","vSwitch0","Standard"
"10.80.18.70","Cluster_DWH","VM Network","0","vSwitch0","Standard"
"10.80.18.70","Cluster_DWH","Management Network","0","vSwitch0","Standard"
"10.80.18.75","Cluster_DWH","DEPI","0","DEPI-VSW","Standard"
"10.80.18.75","Cluster_DWH","DSI","0","DSI-VSW","Standard"
"10.80.18.75","Cluster_DWH","Trunk-Netwotk","4095","vSwitch-Trunk","Standard"
"10.80.18.75","Cluster_DWH","VMkernel","0","vSwitch0","Standard"
"10.80.18.75","Cluster_DWH","VM Network","0","vSwitch0","Standard"
"10.80.18.75","Cluster_DWH","Management Network","0","vSwitch0","Standard"
"10.80.18.118","Cluster_PF_SAGE","VM Network","0","vSwitch0","Standard"
"10.80.18.118","Cluster_PF_SAGE","BACKUP/VMOTION","0","vSwitch0","Standard"
"10.80.18.118","Cluster_PF_SAGE","VMKernel Management","0","vSwitch0","Standard"
"10.80.18.117","Cluster_PF_SAGE","VM Network","0","vSwitch0","Standard"
"10.80.18.117","Cluster_PF_SAGE","BACKUP/VMOTION","0","vSwitch0","Standard"
"10.80.18.117","Cluster_PF_SAGE","VMKernel Management","0","vSwitch0","Standard"
"10.80.18.10","Cluster_BSS","VM Network","0","vSwitch0","Standard"
"10.80.18.10","Cluster_BSS","Management Network","0","vSwitch0","Standard"
"10.80.18.5","Cluster_BSS","VM Network","0","vSwitch0","Standard"
"10.80.18.5","Cluster_BSS","Management Network","0","vSwitch0","Standard"
"10.80.18.18","Cluster_ESS","VM Network","0","vSwitch0","Standard"
"10.80.18.18","Cluster_ESS","Management Network","0","vSwitch0","Standard"
"10.80.18.19","Cluster_ESS","VM Network","0","vSwitch0","Standard"
"10.80.18.19","Cluster_ESS","Management Network","0","vSwitch0","Standard"
"10.80.18.116","Cluster_PF_BSS","VM Network","0","vSwitch0","Standard"
"10.80.18.116","Cluster_PF_BSS","BACKUP/VMOTION","0","vSwitch0","Standard"
"10.80.18.116","Cluster_PF_BSS","VMKernel Management","0","vSwitch0","Standard"
"10.80.18.115","Cluster_PF_BSS","VM Network","0","vSwitch0","Standard"
"10.80.18.115","Cluster_PF_BSS","BACKUP/VMOTION","0","vSwitch0","Standard"
"10.80.18.115","Cluster_PF_BSS","VMKernel Management","0","vSwitch0","Standard"
"10.80.18.24","Cluster_SAGE","VM Network","0","vSwitch0","Standard"
"10.80.18.24","Cluster_SAGE","Management Network","0","vSwitch0","Standard"
"10.80.18.23","Cluster_SAGE","VM Network","0","vSwitch0","Standard"
"10.80.18.23","Cluster_SAGE","Management Network","0","vSwitch0","Standard"
