"Host","Cluster","Name","IP","SubnetMask","Mac","Mtu","PortGroup","VMotionEnabled","FaultToleranceLoggingEnabled","ManagementTrafficEnabled","VsanTrafficEnabled"
"10.80.18.70","Cluster_DWH","vmk0","10.80.18.70","255.255.255.128","20:67:7c:0a:1b:62","1500","Management Network","True","False","True","False"
"10.80.18.75","Cluster_DWH","vmk0","10.80.18.75","255.255.255.128","20:67:7c:0a:0f:24","1500","Management Network","True","False","True","False"
"10.80.18.118","Cluster_PF_SAGE","vmk0","10.80.18.118","255.255.255.128","78:ac:44:90:85:9e","1500","VMKernel Management","True","False","True","False"
"10.80.18.118","Cluster_PF_SAGE","vmk1","10.80.19.8","255.255.255.0","00:50:56:6b:aa:08","1500","BACKUP/VMOTION","True","False","False","False"
"10.80.18.117","Cluster_PF_SAGE","vmk0","10.80.18.117","255.255.255.128","78:ac:44:8f:ea:9e","1500","VMKernel Management","True","False","True","False"
"10.80.18.117","Cluster_PF_SAGE","vmk1","10.80.19.7","255.255.255.0","00:50:56:69:be:17","1500","BACKUP/VMOTION","True","False","False","False"
"10.80.18.10","Cluster_BSS","vmk0","10.80.18.10","255.255.255.128","28:80:23:b3:ff:bc","1500","Management Network","True","False","True","False"
"10.80.18.5","Cluster_BSS","vmk0","10.80.18.5","255.255.255.128","28:80:23:b4:00:28","1500","Management Network","True","False","True","False"
"10.80.18.18","Cluster_ESS","vmk0","10.80.18.18","255.255.255.128","3c:a8:2a:ed:c8:4c","1500","Management Network","True","False","True","False"
"10.80.18.19","Cluster_ESS","vmk0","10.80.18.19","255.255.255.128","3c:a8:2a:ed:cd:0c","1500","Management Network","True","False","True","False"
"10.80.18.116","Cluster_PF_BSS","vmk0","10.80.18.116","255.255.255.128","78:ac:44:90:87:62","1500","VMKernel Management","True","False","True","False"
"10.80.18.116","Cluster_PF_BSS","vmk1","10.80.19.6","255.255.255.0","00:50:56:63:d0:a8","1500","BACKUP/VMOTION","True","False","False","False"
"10.80.18.115","Cluster_PF_BSS","vmk0","10.80.18.115","255.255.255.128","78:ac:44:91:99:ea","1500","VMKernel Management","True","False","True","False"
"10.80.18.115","Cluster_PF_BSS","vmk1","10.80.19.5","255.255.255.0","00:50:56:6c:01:4a","1500","BACKUP/VMOTION","True","False","False","False"
"10.80.18.24","Cluster_SAGE","vmk0","10.80.18.24","255.255.255.128","3c:a8:2a:ed:db:50","1500","Management Network","True","False","True","False"
"10.80.18.23","Cluster_SAGE","vmk0","10.80.18.23","255.255.255.128","3c:a8:2a:ed:d7:18","1500","Management Network","True","False","True","False"
