"Name","LicenseKeyMasked","Total","Used","CostUnit","EditionKey"
"Product Evaluation","****-00000","0",,"","eval"
"vCenter Server 8 Standard","****-0J3MM","1","1","server","vc.standard.instance"
"VMware vSphere 6 Enterprise Plus","****-14W71","4","0","cpuPackage","esx.enterprisePlus.cpuPackage"
"vSphere 8 Enterprise Plus","****-05NN4","12","12","cpuPackage:32core","esx.enterprisePlus.cpuPackageCoreLimited"
"vSphere 8 Enterprise Plus","****-8936H","8","8","cpuPackage:32core","esx.enterprisePlus.cpuPackageCoreLimited"
"VMware vSphere 6 Enterprise Plus","****-9T710","8","0","cpuPackage","esx.enterprisePlus.cpuPackage"
"VMware vSphere 6 Enterprise Plus","****-1N7L0","4","0","cpuPackage","esx.enterprisePlus.cpuPackage"
"vSphere 8 Enterprise Plus","****-1UK24","0","4","cpuPackage","esx.enterprisePlus.cpuPackage"
"VMware vSphere 6 Enterprise Plus","****-8NJ15","16","0","cpuPackage","esx.enterprisePlus.cpuPackage"
"VMware vSphere 6 Enterprise Plus","****-8TE30","4","0","cpuPackage","esx.enterprisePlus.cpuPackage"
"vSphere 8 Enterprise Plus","****-2NRJH","20","24","cpuPackage:32core","esx.enterprisePlus.cpuPackageCoreLimited"
"VMware vCenter Server 6 Standard","****-9NVN1","1","0","server","vc.standard.instance"
