"EntityType","EntityName","Cluster","Metric","Unit","Samples","Average","P95","P99","Maximum","Minimum","FirstSample","LastSample"
"Host","10.80.18.70","Cluster_DWH","cpu.usage.average","%","11","28,0645","33,16","33,16","33,16","21,73","28/08/2026 00:00:00","07/09/2026 00:00:00"
"Host","10.80.18.70","Cluster_DWH","cpu.usagemhz.average","MHz","11","56459","66713","66713","66713","43725","28/08/2026 00:00:00","07/09/2026 00:00:00"
"Host","10.80.18.70","Cluster_DWH","disk.usage.average","KBps","11","142667,2727","187155","187155","187155","111557","28/08/2026 00:00:00","07/09/2026 00:00:00"
"Host","10.80.18.70","Cluster_DWH","mem.consumed.average","KB","11","315384826,9091","334920579","334920579","334920579","255195292","28/08/2026 00:00:00","07/09/2026 00:00:00"
"Host","10.80.18.70","Cluster_DWH","mem.usage.average","%","11","29,3764","31,2","31,2","31,2","23,77","28/08/2026 00:00:00","07/09/2026 00:00:00"
"Host","10.80.18.70","Cluster_DWH","net.usage.average","KBps","11","19076,4545","31421","31421","31421","12180","28/08/2026 00:00:00","07/09/2026 00:00:00"
"Host","10.80.18.75","Cluster_DWH","cpu.usage.average","%","11","8,7291","10,34","10,34","10,34","7,11","28/08/2026 00:00:00","07/09/2026 00:00:00"
"Host","10.80.18.75","Cluster_DWH","cpu.usagemhz.average","MHz","11","17568,5455","20810","20810","20810","14309","28/08/2026 00:00:00","07/09/2026 00:00:00"
"Host","10.80.18.75","Cluster_DWH","disk.usage.average","KBps","11","40112,6364","69909","69909","69909","26208","28/08/2026 00:00:00","07/09/2026 00:00:00"
"Host","10.80.18.75","Cluster_DWH","mem.consumed.average","KB","11","386834958,3636","440201698","440201698","440201698","294395683","28/08/2026 00:00:00","07/09/2026 00:00:00"
"Host","10.80.18.75","Cluster_DWH","mem.usage.average","%","11","36,0318","41","41","41","27,42","28/08/2026 00:00:00","07/09/2026 00:00:00"
"Host","10.80.18.75","Cluster_DWH","net.usage.average","KBps","11","6189,0909","12996","12996","12996","2643","28/08/2026 00:00:00","07/09/2026 00:00:00"
"Host","10.80.18.118","Cluster_PF_SAGE","cpu.usage.average","%","358","12,6927","18,86","21,16","22,12","6,21","09/08/2026 22:00:00","08/09/2026 16:00:00"
"Host","10.80.18.118","Cluster_PF_SAGE","cpu.usagemhz.average","MHz","358","38313,4777","56913","63840","66757","18765","09/08/2026 22:00:00","08/09/2026 16:00:00"
"Host","10.80.18.118","Cluster_PF_SAGE","disk.usage.average","KBps","358","158479,5028","398867","492292","587477","29781","09/08/2026 22:00:00","08/09/2026 16:00:00"
"Host","10.80.18.118","Cluster_PF_SAGE","mem.consumed.average","KB","358","610803835,6397","615863744","653373837","655221734","594955617","09/08/2026 22:00:00","08/09/2026 16:00:00"
