"VM","PowerState","Host","Cluster","NumCPU","MemoryGB","ProvisionedSpaceGB","UsedSpaceGB","GuestOS","GuestId","HardwareVersion","ToolsStatus","ToolsVersion","IPAddress","DNSName","Datastores","Networks","Folder","Notes"
"TG002VMCTX001_replica","PoweredOff","10.80.24.40","Cluster_DR","4","12","283,52","70,65",,"windows9Server64Guest","vmx-14","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",""
"TG002VMCTX013_replica","PoweredOff","10.80.24.50","Cluster_DR","32","128","1100,33","421,4",,"windows9Server64Guest","vmx-14","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",""
"TG002VMCTX014_replica","PoweredOff","10.80.24.50","Cluster_DR","32","100","783,36","282,44",,"windows9Server64Guest","vmx-14","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",""
"TG002VMCTX010_replica","PoweredOff","10.80.24.50","Cluster_DR","4","12","264,8","51,93",,"windows9Server64Guest","vmx-14","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",""
"TG002VMCTX008_replica","PoweredOff","10.80.24.50","Cluster_DR","4","12","263,04","50,17",,"windows9Server64Guest","vmx-14","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",""
"TG002VMAPP047_replica","PoweredOff","10.80.24.50","Cluster_DR","20","72","29705,57","13845,19",,"windows2019srvNext_64Guest","vmx-20","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",""
"TG001VMTLCRECUP","PoweredOff","10.80.24.40","Cluster_DR","8","64","564,28","500",,"rhel7_64Guest","vmx-21","guestToolsNotRunning","0","",,"DR_DS_FLOOZ_DATA_1;DR_DS_ISOSTORE","VM Network","vm",
"TG002VMAPP041_replica","PoweredOff","10.80.24.40","Cluster_DR","4","16","1201,29","384,95","Microsoft Windows Server 2022 (64-bit)","windows2019srvNext_64Guest","vmx-20","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",""
"TG002VMAPP129_replica","PoweredOff","10.80.24.40","Cluster_DR","6","24","555,05","30,7","Microsoft Windows Server 2022 (64-bit)","windows2019srvNext_64Guest","vmx-20","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",""
"TG002VMAPP046_RE_replica","PoweredOff","10.80.24.40","Cluster_DR","16","96","9572,1","4721,22","Microsoft Windows Server 2012 (64-bit)","windows8Server64Guest","vmx-14","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",
"TG002VMICC122_replica","PoweredOff","10.80.24.50","Cluster_DR","8","32","2250,69","1917,81","Microsoft Windows Server 2016 (64-bit)","windows9Server64Guest","vmx-14","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",""
"TG002VMICC127_replica","PoweredOff","10.80.24.40","Cluster_DR","8","32","1725,98","547",,"windows9Server64Guest","vmx-14","guestToolsNotRunning",,"",,"DR_DS_REP_001","Not connected","vm",
"TG002VMCTX015_replica","PoweredOff","10.80.24.40","Cluster_DR","32","100","779,5","178,58",,"windows9Server64Guest","vmx-14","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",""
"TG002VMDBM175_replica","PoweredOff","10.80.24.40","Cluster_DR","48","128","1739,39","610,43",,"rhel7_64Guest","vmx-13","guestToolsNotRunning",,"",,"DR_DS_REP_001","Not connected","vm",
"TG002VMPRTTEST_replica","PoweredOff","10.80.24.50","Cluster_DR","12","32","357,53","24,65",,"rhel8_64Guest","vmx-14","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",
"RHEL_TEST","PoweredOn","10.80.24.50","Cluster_DR","8","20","70,09","70,09","Red Hat Enterprise Linux 9 (64-bit)","rhel9_64Guest","vmx-21","guestToolsRunning","12389","10.80.24.68","localhost.localdomain","DR_DS_ISOSTORE;DR_DS_OS_REP","LAN_SERVEURS;VM Network","vm",""
"TG002VMPRT001_replica","PoweredOff","10.80.24.50","Cluster_DR","12","32","568,9","36,01",,"rhel8_64Guest","vmx-14","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",
