"VM","Cluster","Disk","CapacityGB","StorageFormat","Persistence","Filename"
"vCLS-325b12f3-e4a9-4e7d-9df4-eac64db8d6cb","Cluster_DR","Hard disk 1","2","Thin","Persistent","[DR_DS_REP_001] vCLS-325b12f3-e4a9-4e7d-9df4-eac64db8d6cb/vCLS-325b12f3-e4a9-4e7d-9df4-eac64db8d6cb.vmdk"
"vCLS-9da814de-bb36-458b-964e-104fc5bc64ea","Cluster_DR","Hard disk 1","2","Thin","Persistent","[DR_DS_REP_001] vCLS-9da814de-bb36-458b-964e-104fc5bc64ea/vCLS-9da814de-bb36-458b-964e-104fc5bc64ea.vmdk"
"TG002VMAPP123_replica","Cluster_DR","Hard disk 1","300","Thin","Persistent","[DR_DS_REP_001] TG002VMAPP123_replica_1/TG002VMAPP123-000002.vmdk"
"TG002VMAPP123_replica","Cluster_DR","Hard disk 2","500","Thin","Persistent","[DR_DS_REP_001] TG002VMAPP123_replica_1/TG002VMAPP123_1-000002.vmdk"
"TG002VMAPP123_replica","Cluster_DR","Hard disk 3","146","Thin","Persistent","[DR_DS_REP_001] TG002VMAPP123_replica_1/TG002VMAPP122_RE-000002.vmdk"
"TG002VMAPP123_replica","Cluster_DR","Hard disk 4","400","Thin","Persistent","[DR_DS_REP_001] TG002VMAPP123_replica_1/TG002VMAPP122_RE_1-000002.vmdk"
"TG002VMAPP047_replica","Cluster_DR","Hard disk 1","500","Thin","Persistent","[DR_DS_REP_001] TG002VMAPP047_replica/TG002VMAPP047-000001.vmdk"
"TG002VMAPP047_replica","Cluster_DR","Hard disk 2","15360","Thin","Persistent","[DR_DS_REP_001] TG002VMAPP047_replica/TG002VMAPP047_1-000001.vmdk"
"TG002VMCTX008_replica","Cluster_DR","Hard disk 1","200","Thin","Persistent","[DR_DS_REP_001] TG002VMCTX008_replica/TG002VMCTX008-000001.vmdk"
"TG002VMCTX009_replica","Cluster_DR","Hard disk 1","200","Thin","Persistent","[DR_DS_REP_001] TG002VMCTX009_replica/TG002VMCTX009-000001.vmdk"
"TG002VMCTX011_replica","Cluster_DR","Hard disk 1","250","Thin","Persistent","[DR_DS_REP_001] TG002VMCTX011_replica/TG002VMLIC001_2-000001.vmdk"
"TG002VMCTX012_replica","Cluster_DR","Hard disk 1","600","Thin","Persistent","[DR_DS_REP_001] TG002VMCTX012_replica/TG002VMCTX012-000001.vmdk"
"TG002VMCTX010_replica","Cluster_DR","Hard disk 1","200","Thin","Persistent","[DR_DS_REP_001] TG002VMCTX010_replica/TG002VMCTX010-000001.vmdk"
"TG002VMCTX014_replica","Cluster_DR","Hard disk 1","400","Thin","Persistent","[DR_DS_REP_001] TG002VMCTX014_replica/TG002VMCTX014-000001.vmdk"
"TG002VMCTX015_replica","Cluster_DR","Hard disk 1","500","Thin","Persistent","[DR_DS_REP_001] TG002VMCTX015_replica/TG002VMCTX015-000001.vmdk"
"TG002VMCTX013_replica","Cluster_DR","Hard disk 1","550","Thin","Persistent","[DR_DS_REP_001] TG002VMCTX013_replica/TG002VMCTX013-000001.vmdk"
"TG002VMCTX001_replica","Cluster_DR","Hard disk 1","200","Thin","Persistent","[DR_DS_REP_001] TG002VMCTX001_replica/TG002VMCTX001_RE-000001.vmdk"
"TG001VMREP002","Cluster_DR","Hard disk 1","250","Thick","Persistent","[DS_OS_MNGMT] TG001VMREP002/TG001VMREP002.vmdk"
"TG001VMREP002","Cluster_DR","Hard disk 2","250","Thick","Persistent","[DS_OS_MNGMT] TG001VMREP002/TG001VMREP002_1.vmdk"
"TG001VMREP002","Cluster_DR","Hard disk 3","25600","Thin","Persistent","[DR_DS_DATA_REP] TG002VMREP001/TG002VMREP001.vmdk"
"TG001VMDBO001","Cluster_DR","Hard disk 1","1843,2","Thick","Persistent","[DS_FLOOZ_OS_DB_205] TG001VMDBO001/TG001VMDBO001.vmdk"
"TG001VMDBO001","Cluster_DR","Hard disk 2","1843,2","EagerZeroedThick","Persistent","[DS_FLOOZ_DATA_BD__1] TG001VMDBO001/TG001VMDBO001.vmdk"
"TG001VMDBO001","Cluster_DR","Hard disk 3","1843,2","EagerZeroedThick","Persistent","[DS_FLOOZ_DATA_BD__2] TG001VMDBO001/TG001VMDBO001.vmdk"
"TG001VMDBO001","Cluster_DR","Hard disk 4","1843,2","EagerZeroedThick","Persistent","[DS_FLOOZ_DATA_BD__3] TG001VMDBO001/TG001VMDBO001.vmdk"
"TG001VMDBO001","Cluster_DR","Hard disk 5","1843,2","EagerZeroedThick","Persistent","[DS_FLOOZ_DATA_BD__4] TG001VMDBO001/TG001VMDBO001.vmdk"
"TG001VMDBO001","Cluster_DR","Hard disk 6","1843,2","EagerZeroedThick","Persistent","[DS_FLOOZ_DATA_BD__5] TG001VMDBO001/TG001VMDBO001.vmdk"
"TG001VMIWEB001","Cluster_DR","Hard disk 1","921,6","Thin","Persistent","[DS_FLOOZ_OS_SRV__7] TG001VMIWEB001/TG001VMIWEB001.vmdk"
"TG001VMIWEB001","Cluster_DR","Hard disk 2","500","Thin","Persistent","[DS_FLOOZ_DATA_DR] TG001VMIWEB001/TG001VMIWEB001.vmdk"
"TG001VMIWEB001","Cluster_DR","Hard disk 3","500","Thin","Persistent","[DS_FLOOZ_DATA_DR] TG001VMIWEB001/TG001VMIWEB001_1.vmdk"
"TG001VMIWEB002","Cluster_DR","Hard disk 1","921,6","Thin","Persistent","[DS_FLOOZ_OS_SRV__8] TG001VMIWEB002/TG001VMIWEB002.vmdk"
"TG001VMIWEB002","Cluster_DR","Hard disk 2","500","Thin","Persistent","[DS_FLOOZ_DATA_DR] TG001VMIWEB002/TG001VMIWEB002.vmdk"
"TG001VMIWEB002","Cluster_DR","Hard disk 3","500","Thin","Persistent","[DS_FLOOZ_DATA_DR] TG001VMIWEB002/TG001VMIWEB002_1.vmdk"
"TG001VMEWEB001","Cluster_DR","Hard disk 1","921,6","Thin","Persistent","[DS_FLOOZ_OS_SRV__9] TG001VMEWEB001/TG001VMEWEB001.vmdk"
"TG001VMEWEB001","Cluster_DR","Hard disk 2","500","Thin","Persistent","[DS_FLOOZ_DATA_DR] TG001VMEWEB001/TG001VMEWEB001.vmdk"
"TG001VMEWEB001","Cluster_DR","Hard disk 3","500","Thin","Persistent","[DS_FLOOZ_DATA_DR] TG001VMEWEB001/TG001VMEWEB001_1.vmdk"
"TG001VMEWEB002","Cluster_DR","Hard disk 1","921,6","Thin","Persistent","[DS_FLOOZ_OS_SRV__10] TG001VMEWEB002/TG001VMEWEB002.vmdk"
"TG001VMEWEB002","Cluster_DR","Hard disk 2","500","Thin","Persistent","[DS_FLOOZ_DATA_DR] TG001VMEWEB002/TG001VMEWEB002.vmdk"
"TG001VMEWEB002","Cluster_DR","Hard disk 3","500","Thin","Persistent","[DS_FLOOZ_DATA_DR] TG001VMEWEB002/TG001VMEWEB002_1.vmdk"
"TG001VMMNTR001","Cluster_DR","Hard disk 1","1843,2","Thick","Persistent","[DS_FLOOZ_OS_DB_207] TG001VMMNTR001/TG001VMMNTR001.vmdk"
"TG001VMINF122","Cluster_DR","Hard disk 1","48,56","Thin","Persistent","[DS_OS_MNGMT] TG001VMINF122_1/TG001VMINF122-000001.vmdk"
"TG001VMINF122","Cluster_DR","Hard disk 2","6,87","Thin","Persistent","[DS_OS_MNGMT] TG001VMINF122_1/TG001VMINF122_1-000001.vmdk"
"TG001VMINF122","Cluster_DR","Hard disk 3","25","Thin","Persistent","[DS_OS_MNGMT] TG001VMINF122_1/TG001VMINF122_2-000001.vmdk"
"TG001VMINF122","Cluster_DR","Hard disk 4","50","Thin","Persistent","[DS_OS_MNGMT] TG001VMINF122_1/TG001VMINF122_3-000001.vmdk"
"TG001VMINF122","Cluster_DR","Hard disk 5","10","Thin","Persistent","[DS_OS_MNGMT] TG001VMINF122_1/TG001VMINF122_4-000001.vmdk"
"TG001VMINF122","Cluster_DR","Hard disk 6","10","Thin","Persistent","[DS_OS_MNGMT] TG001VMINF122_1/TG001VMINF122_5-000001.vmdk"
