"VM","Cluster","Snapshot","Created","SizeGB","Description"
"TG002VMCTX001_replica","Cluster_DR","Restore Point 30-07-2026 17:03:37","30/07/2026 17:33:35","70,65","<RPData PointTime=""5250896296605827174"" WorkingSnapshotTime=""5250896297024329867"" PointSize=""75856084992"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMCTX013_replica","Cluster_DR","Restore Point 30-07-2026 17:03:41","30/07/2026 18:09:23","421,4","<RPData PointTime=""5250896296644360584"" WorkingSnapshotTime=""5250896297024173903"" PointSize=""452475224064"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMCTX014_replica","Cluster_DR","Restore Point 30-07-2026 17:03:41","30/07/2026 18:01:40","282,44","<RPData PointTime=""5250896296644768704"" WorkingSnapshotTime=""5250896297024799175"" PointSize=""303262859264"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMCTX010_replica","Cluster_DR","Restore Point 30-07-2026 16:08:33","30/07/2026 16:27:26","51,93","<RPData PointTime=""5250896263557834404"" WorkingSnapshotTime=""5250896263915015048"" PointSize=""55761174528"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMCTX008_replica","Cluster_DR","Restore Point 30-07-2026 15:50:22","30/07/2026 16:02:04","49,9","<RPData PointTime=""5250896252657196444"" WorkingSnapshotTime=""5250896252909167361"" PointSize=""53579087872"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMCTX008_replica","Cluster_DR","Restore Point 30-07-2026 16:08:28","30/07/2026 16:11:28","0,27","<RPData PointTime=""5250896263507627114"" WorkingSnapshotTime=""5250896263796577822"" PointSize=""290455552"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMAPP047_replica","Cluster_DR","Restore Point 14-07-2026 11:28:43","17/07/2026 04:35:36","13578,92","<RPData PointTime=""5250882271662249394"" WorkingSnapshotTime=""5250882272092086570"" PointSize=""14580252147712"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMAPP047_replica","Cluster_DR","Restore Point 17-07-2026 10:12:55","17/07/2026 11:39:45","266,27","<RPData PointTime=""5250884818177703874"" WorkingSnapshotTime=""5250884818522931930"" PointSize=""285903683584"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMAPP041_replica","Cluster_DR","Restore Point 17-07-2026 00:01:29","17/07/2026 00:09:24","383,39","<RPData PointTime=""5250884451320535164"" WorkingSnapshotTime=""5250884451708178393"" PointSize=""411657306112"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMAPP041_replica","Cluster_DR","Restore Point 17-07-2026 08:01:33","17/07/2026 08:07:53","0,48","<RPData PointTime=""5250884739361677694"" WorkingSnapshotTime=""5250884739774341166"" PointSize=""516947968"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMAPP041_replica","Cluster_DR","Restore Point 17-07-2026 16:01:32","17/07/2026 16:08:07","1,08","<RPData PointTime=""5250885027351070884"" WorkingSnapshotTime=""5250885027712041518"" PointSize=""1157627904"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMAPP129_replica","Cluster_DR","Restore Point 17-07-2026 00:01:28","17/07/2026 00:04:49","28,5","<RPData PointTime=""5250884451308972164"" WorkingSnapshotTime=""5250884451682552606"" PointSize=""30599544832"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMAPP129_replica","Cluster_DR","Restore Point 17-07-2026 08:01:33","17/07/2026 08:05:22","1,56","<RPData PointTime=""5250884739364585674"" WorkingSnapshotTime=""5250884739763873215"" PointSize=""1676673024"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMAPP129_replica","Cluster_DR","Restore Point 17-07-2026 16:01:32","17/07/2026 16:05:30","0,64","<RPData PointTime=""5250885027351241574"" WorkingSnapshotTime=""5250885027734229125"" PointSize=""684720128"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMAPP046_RE_replica","Cluster_DR","Restore Point 29-06-2026 20:36:23","29/06/2026 20:49:56","4721,22","<RPData PointTime=""5250869640263880764"" WorkingSnapshotTime=""5250869642831035173"" PointSize=""5069368983552"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMAPP046_RE_replica","Cluster_DR","Restore Point 30-06-2026 06:55:09","30/06/2026 07:10:50","0","<RPData PointTime=""5250870011526675844"" WorkingSnapshotTime=""5250870013821992730"" PointSize=""2097152"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMAPP046_RE_replica","Cluster_DR","Restore Point 30-06-2026 13:54:26","30/06/2026 14:07:38","0","<RPData PointTime=""5250870263096486054"" WorkingSnapshotTime=""5250870264166257477"" PointSize=""2097152"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMICC122_replica","Cluster_DR","Restore Point 07-05-2026 01:20:43","07/05/2026 01:50:49","0","<RPData PointTime=""5250823154866874864"" WorkingSnapshotTime=""5250823155270252553"" PointSize=""2050208301056"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMICC122_replica","Cluster_DR","Restore Point 07-05-2026 08:42:02","07/05/2026 09:15:41","0","<RPData PointTime=""5250823419649105304"" WorkingSnapshotTime=""5250823420015021182"" PointSize=""5494538240"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMICC122_replica","Cluster_DR","Restore Point 07-05-2026 19:39:49","07/05/2026 20:10:40","0","<RPData PointTime=""5250823814321538854"" WorkingSnapshotTime=""5250823814699272595"" PointSize=""3530555392"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMICC127_replica","Cluster_DR","Restore Point 22-03-2026 08:30:24","22/03/2026 08:24:09","547","<RPData PointTime=""5250783668671976114"" WorkingSnapshotTime=""5250783664588756958"" PointSize=""586880647168"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMICC127_replica","Cluster_DR","Restore Point 22-03-2026 14:06:34","22/03/2026 14:01:09","547","<RPData PointTime=""5250783870376486814"" WorkingSnapshotTime=""5250783866206985000"" PointSize=""716177408"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
