"Datastore","Type","CapacityGB","FreeSpaceGB","UsedSpaceGB","UsedPercent","Accessible","HostCount","VMCount","Hosts"
"DR_DS_DATA_BKI_HW","VMFS","13312,75","13310,69","2,06","0,02","True","2","0","10.80.24.40;10.80.24.50"
"PERTE TEST (1)","VMFS","499,75","327,89","171,86","34,39","True","2","1","10.80.24.40;10.80.24.50"
"DS_DR_SRM_OS","VMFS","2047,75","1894,71","153,04","7,47","False","1","6","10.80.24.20"
"DS_FLOOZ_OS_SRV__6","VMFS","1023,75","84,21","939,54","91,77","True","2","1","10.80.24.40;10.80.24.50"
"DS_CACHE_SSD_43","VMFS","223,5","222,09","1,41","0,63","True","1","0","10.80.24.40"
"disque_interne_071","VMFS","129,25","120,24","9,01","6,97","True","1","0","10.80.24.20"
"DR_DS_FLOOZ_DATA_1","VMFS","6143,75","3731,00","2412,75","39,27","True","2","2","10.80.24.40;10.80.24.50"
"DS_FLOOZ_OS_SRV__4","VMFS","1023,75","987,87","35,88","3,50","True","2","1","10.80.24.40;10.80.24.50"
"DS_FLOOZ_OS_SRV__2","VMFS","1023,75","987,88","35,87","3,50","True","2","1","10.80.24.40;10.80.24.50"
"DR_DS_ISOSTORE","VMFS","499,75","458,65","41,10","8,22","True","2","25","10.80.24.40;10.80.24.50"
"DR_DS_RESTO_PORTING","VMFS","1023,75","1022,08","1,67","0,16","True","2","0","10.80.24.40;10.80.24.50"
"DS_FLOOZ_DATA_BD__2","VMFS","2047,75","203,11","1844,64","90,08","True","2","1","10.80.24.40;10.80.24.50"
"DR_DS_OS_REP","VMFS","1023,75","68,50","955,25","93,31","True","2","4","10.80.24.40;10.80.24.50"
"DS_OS_INF122","VMFS","1023,75","995,36","28,39","2,77","True","2","1","10.80.24.40;10.80.24.50"
"DS_FLOOZ_OS_SRV__5","VMFS","1023,75","1003,90","19,85","1,94","True","2","1","10.80.24.40;10.80.24.50"
"DS_FLOOZ_OS_SRV__10","VMFS","1023,75","955,92","67,83","6,63","True","2","1","10.80.24.40;10.80.24.50"
"DS_FLOOZ_DATA_BD__5","VMFS","2047,75","203,11","1844,64","90,08","True","2","1","10.80.24.40;10.80.24.50"
"DS_FLOOZ_OS_SRV__9","VMFS","1023,75","955,81","67,94","6,64","True","2","1","10.80.24.40;10.80.24.50"
"DS_FLOOZ_DATA_BD__3","VMFS","2047,75","203,11","1844,64","90,08","True","2","1","10.80.24.40;10.80.24.50"
"datastore1","VMFS","151,25","149,84","1,41","0,93","True","1","0","10.80.24.50"
"DS_FLOOZ_OS_SRV__8","VMFS","1023,75","955,90","67,85","6,63","True","2","1","10.80.24.40;10.80.24.50"
"DS_PlaceHolder-DR","VMFS","99,75","9,19","90,56","90,78","False","1","7","10.80.24.20"
"DS_OS_MNGMT","VMFS","2047,75","839,98","1207,77","58,98","True","2","5","10.80.24.40;10.80.24.50"
"DS_FLOOZ_OS_SRV__3","VMFS","1023,75","982,85","40,90","4,00","True","2","1","10.80.24.40;10.80.24.50"
"DS_FLOOZ_DATA_BD__4","VMFS","2047,75","203,11","1844,64","90,08","True","2","1","10.80.24.40;10.80.24.50"
"DS_FLOOZ_OS_DB_207","VMFS","2047,75","138,80","1908,95","93,22","True","2","1","10.80.24.40;10.80.24.50"
"DS_OS_ICCARE_DR","VMFS","1023,75","457,73","566,02","55,29","True","2","2","10.80.24.40;10.80.24.50"
"DS_FLOOZ_DATA_BD__1","VMFS","2047,75","203,11","1844,64","90,08","True","2","1","10.80.24.40;10.80.24.50"
"DS_FLOOZ_OS_DB_205","VMFS","2047,75","138,68","1909,07","93,23","True","2","1","10.80.24.40;10.80.24.50"
"DS_FLOOZ_OS_DB_206","VMFS","2047,75","138,44","1909,31","93,24","True","2","1","10.80.24.40;10.80.24.50"
"DR_DS_FLOOZ_OS_8","VMFS","1023,75","897,14","126,61","12,37","True","2","1","10.80.24.40;10.80.24.50"
"DR_DS_DATA_REP","VMFS","35839,75","13250,88","22588,87","63,03","True","2","1","10.80.24.40;10.80.24.50"
"DR_DS_DATA_BKI","VMFS","12287,75","9801,47","2486,28","20,23","True","2","2","10.80.24.40;10.80.24.50"
"DR_DS_FLOOZ_DATA_2","VMFS","6143,75","2115,46","4028,29","65,57","True","2","1","10.80.24.40;10.80.24.50"
"DR_DS_REP_001","VMFS","51209,75","23174,41","28035,34","54,75","True","2","34","10.80.24.40;10.80.24.50"
"DR_DS_FLOOZ_OS_9","VMFS","1023,75","945,39","78,36","7,65","True","2","1","10.80.24.40;10.80.24.50"
"datastore1 (1)","VMFS","151,25","149,84","1,41","0,93","True","1","0","10.80.24.40"
"DS_FLOOZ_DATA_DR","VMFS","5119,75","5118,26","1,49","0,03","True","2","4","10.80.24.40;10.80.24.50"
"DS_FLOOZ_OS_SRV__7","VMFS","1023,75","955,91","67,84","6,63","True","2","1","10.80.24.40;10.80.24.50"
"DS_FLOOZ_OS_SRV__1","VMFS","1023,75","987,87","35,88","3,50","True","2","1","10.80.24.40;10.80.24.50"
"DR_DS_OS_MGMT","VMFS","1023,75","745,36","278,39","27,19","True","1","2","10.80.24.20"
