"Host","Cluster","PortGroup","VLanId","VirtualSwitch","Type"
"10.80.24.20","Cluster_DR_Ext.","VM Network","0","vSwitch0","Standard"
"10.80.24.20","Cluster_DR_Ext.","Management Network","0","vSwitch0","Standard"
"10.80.24.20","Cluster_DR_Ext.","FLZ-BACKEND","0","vSwitch1","Standard"
"10.80.24.20","Cluster_DR_Ext.","FLZ-FRONTEND","0","vSwitch1","Standard"
"10.80.24.20","Cluster_DR_Ext.","RESEAU-BACKUP","0","vSwitch1","Standard"
"10.80.24.20","Cluster_DR_Ext.","RESEAU-PROD","0","vSwitch1","Standard"
"10.80.24.20","Cluster_DR_Ext.","RESEAU-DPEI","0","vSwitch1","Standard"
"10.80.24.20","Cluster_DR_Ext.","RESEAU-DIS","0","vSwitch1","Standard"
"10.80.24.20","Cluster_DR_Ext.","srmpg-cc831639-f994-48af-95a4-6a702da2446d","0","srmvs-cc831639-f994-48af-95a4-6","Standard"
"10.80.24.40","Cluster_DR","VM Network","0","vSwitch0","Standard"
"10.80.24.40","Cluster_DR","Management Network","0","vSwitch0","Standard"
"10.80.24.50","Cluster_DR","VM Network","0","vSwitch0","Standard"
"10.80.24.50","Cluster_DR","Management Network","0","vSwitch0","Standard"
"10.80.24.50","Cluster_DR","LAN_2_SERVERS","0","DSWITCH_02","Standard"
