"Host","Cluster","Name","Mac","BitRatePerSec","FullDuplex","DeviceName","Driver","LinkSpeedMb","Pci"
"10.80.24.20","Cluster_DR_Ext.","vmnic0","9c:8e:99:21:b1:4c","0","False","vmnic0",,,
"10.80.24.20","Cluster_DR_Ext.","vmnic1","9c:8e:99:21:b1:4d","1000","True","vmnic1",,"1000",
"10.80.24.20","Cluster_DR_Ext.","vmnic2","9c:8e:99:21:b1:4e","0","False","vmnic2",,,
"10.80.24.20","Cluster_DR_Ext.","vmnic3","9c:8e:99:21:b1:4f","0","False","vmnic3",,,
"10.80.24.40","Cluster_DR","vmnic0","20:67:7c:0a:07:70","0","False","vmnic0",,,
"10.80.24.40","Cluster_DR","vmnic1","20:67:7c:0a:07:72","0","False","vmnic1",,,
"10.80.24.40","Cluster_DR","vmnic10","94:f1:28:a5:8f:68","0","False","vmnic10",,,
"10.80.24.40","Cluster_DR","vmnic11","94:f1:28:a5:8f:6c","0","False","vmnic11",,,
"10.80.24.40","Cluster_DR","vmnic2","20:67:7c:0a:07:74","0","False","vmnic2",,,
"10.80.24.40","Cluster_DR","vmnic3","20:67:7c:0a:07:76","0","False","vmnic3",,,
"10.80.24.40","Cluster_DR","vmnic4","94:f1:28:a5:97:98","10000","True","vmnic4",,"10000",
"10.80.24.40","Cluster_DR","vmnic5","94:f1:28:a5:97:9c","0","False","vmnic5",,,
"10.80.24.40","Cluster_DR","vmnic6","94:f1:28:a5:97:d0","0","False","vmnic6",,,
"10.80.24.40","Cluster_DR","vmnic7","94:f1:28:a5:97:d4","10000","True","vmnic7",,"10000",
"10.80.24.40","Cluster_DR","vmnic8","94:f1:28:a5:8f:00","0","False","vmnic8",,,
"10.80.24.40","Cluster_DR","vmnic9","94:f1:28:a5:8f:04","0","False","vmnic9",,,
"10.80.24.50","Cluster_DR","vmnic0","d0:67:26:c6:4b:70","0","False","vmnic0",,,
"10.80.24.50","Cluster_DR","vmnic1","d0:67:26:c6:4b:72","0","False","vmnic1",,,
"10.80.24.50","Cluster_DR","vmnic10","94:f1:28:a5:97:b8","0","False","vmnic10",,,
"10.80.24.50","Cluster_DR","vmnic11","94:f1:28:a5:97:bc","0","False","vmnic11",,,
"10.80.24.50","Cluster_DR","vmnic2","d0:67:26:c6:4b:74","0","False","vmnic2",,,
"10.80.24.50","Cluster_DR","vmnic3","d0:67:26:c6:4b:76","0","False","vmnic3",,,
"10.80.24.50","Cluster_DR","vmnic4","94:f1:28:a5:8f:08","10000","True","vmnic4",,"10000",
"10.80.24.50","Cluster_DR","vmnic5","94:f1:28:a5:8f:0c","10000","True","vmnic5",,"10000",
"10.80.24.50","Cluster_DR","vmnic6","94:f1:28:a5:8f:40","0","False","vmnic6",,,
"10.80.24.50","Cluster_DR","vmnic7","94:f1:28:a5:8f:44","10000","True","vmnic7",,"10000",
"10.80.24.50","Cluster_DR","vmnic8","94:f1:28:a5:97:d8","0","False","vmnic8",,,
"10.80.24.50","Cluster_DR","vmnic9","94:f1:28:a5:97:dc","0","False","vmnic9",,,
