"EntityType","EntityName","Cluster","Metric","Unit","Samples","Average","P95","P99","Maximum","Minimum","FirstSample","LastSample"
"Host","10.80.24.20","Cluster_DR_Ext.","cpu.usage.average","%","358","3,4592","3,86","3,87","3,88","3,11","10/08/2026 00:00:00","08/09/2026 18:00:00"
"Host","10.80.24.20","Cluster_DR_Ext.","cpu.usagemhz.average","MHz","358","1181,1648","1319","1322","1324","1061","10/08/2026 00:00:00","08/09/2026 18:00:00"
"Host","10.80.24.20","Cluster_DR_Ext.","disk.usage.average","KBps","358","58,7207","61","62","63","54","10/08/2026 00:00:00","08/09/2026 18:00:00"
"Host","10.80.24.20","Cluster_DR_Ext.","mem.consumed.average","KB","358","20437126,3827","20473469","20482735","20484482","20390024","10/08/2026 00:00:00","08/09/2026 18:00:00"
"Host","10.80.24.20","Cluster_DR_Ext.","mem.usage.average","%","358","7,1636","7,18","7,18","7,18","7,14","10/08/2026 00:00:00","08/09/2026 18:00:00"
"Host","10.80.24.20","Cluster_DR_Ext.","net.usage.average","KBps","358","1","1","1","1","1","10/08/2026 00:00:00","08/09/2026 18:00:00"
"Host","10.80.24.40","Cluster_DR","cpu.usage.average","%","358","1,8151","2,04","2,07","2,2","0,84","10/08/2026 00:00:00","08/09/2026 18:00:00"
"Host","10.80.24.40","Cluster_DR","cpu.usagemhz.average","MHz","358","3664,9358","4114","4181","4447","1694","10/08/2026 00:00:00","08/09/2026 18:00:00"
"Host","10.80.24.40","Cluster_DR","disk.usage.average","KBps","358","2830,9441","3960","11524","16021","1315","10/08/2026 00:00:00","08/09/2026 18:00:00"
"Host","10.80.24.40","Cluster_DR","mem.consumed.average","KB","358","43562248,7905","46877166","47169372","53076643","25826521","10/08/2026 00:00:00","08/09/2026 18:00:00"
"Host","10.80.24.40","Cluster_DR","mem.usage.average","%","358","4,0513","4,36","4,39","4,94","2,4","10/08/2026 00:00:00","08/09/2026 18:00:00"
"Host","10.80.24.40","Cluster_DR","net.usage.average","KBps","358","99,9469","94","336","7705","22","10/08/2026 00:00:00","08/09/2026 18:00:00"
"Host","10.80.24.50","Cluster_DR","cpu.usage.average","%","358","4,5167","4,83","5,1","5,18","3,95","10/08/2026 00:00:00","08/09/2026 18:00:00"
"Host","10.80.24.50","Cluster_DR","cpu.usagemhz.average","MHz","358","9098,4944","9720","10263","10438","7957","10/08/2026 00:00:00","08/09/2026 18:00:00"
"Host","10.80.24.50","Cluster_DR","disk.usage.average","KBps","358","3358,0112","7381","8320","11372","1199","10/08/2026 00:00:00","08/09/2026 18:00:00"
"Host","10.80.24.50","Cluster_DR","mem.consumed.average","KB","358","375835599,2486","379206912","379311056","379361755","370907750","10/08/2026 00:00:00","08/09/2026 18:00:00"
"Host","10.80.24.50","Cluster_DR","mem.usage.average","%","358","35,0069","35,32","35,33","35,34","34,55","10/08/2026 00:00:00","08/09/2026 18:00:00"
"Host","10.80.24.50","Cluster_DR","net.usage.average","KBps","358","948,2235","1661","2467","10346","210","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","RHEL_TEST","Cluster_DR","cpu.ready.summation","millisecond","358","6740,9777","8091","8200","8236","5593","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","RHEL_TEST","Cluster_DR","cpu.usage.average","%","358","0,0806","0,09","0,09","0,09","0,07","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","RHEL_TEST","Cluster_DR","cpu.usagemhz.average","MHz","358","14,3045","15","15","15","13","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","RHEL_TEST","Cluster_DR","disk.usage.average","KBps","358","0,095","1","1","1","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","RHEL_TEST","Cluster_DR","mem.consumed.average","KB","358","3794855,6648","3794944","3794944","3794944","3773861","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","RHEL_TEST","Cluster_DR","mem.usage.average","%","358","1,0064","1,04","1,07","1,08","0,99","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","RHEL_TEST","Cluster_DR","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","RHEL_TEST","Cluster_DR","net.usage.average","KBps","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMBK002","Cluster_DR","cpu.ready.summation","millisecond","358","267219,4106","299029","307559","313695","229195","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMBK002","Cluster_DR","cpu.usage.average","%","358","2,2678","2,47","2,5","2,54","1,9","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMBK002","Cluster_DR","cpu.usagemhz.average","MHz","358","1524,5503","1663","1683","1708","1277","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMBK002","Cluster_DR","disk.usage.average","KBps","358","545,7039","2572","2603","2873","102","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMBK002","Cluster_DR","mem.consumed.average","KB","358","100228834,8715","100231168","100231168","100231168","99395908","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMBK002","Cluster_DR","mem.usage.average","%","358","3,9263","4,38","4,6","5","3,17","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMBK002","Cluster_DR","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMBK002","Cluster_DR","net.usage.average","KBps","358","667,4358","1030","1222","2055","312","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMBKI001","Cluster_DR","cpu.ready.summation","millisecond","358","295784,0587","334156","342589","355317","250733","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMBKI001","Cluster_DR","cpu.usage.average","%","358","3,9904","4,62","5,62","5,99","2,55","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMBKI001","Cluster_DR","cpu.usagemhz.average","MHz","358","2679,514","3102","3771","4020","1716","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMBKI001","Cluster_DR","disk.usage.average","KBps","358","783,4441","2769","3148","4722","127","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMBKI001","Cluster_DR","mem.consumed.average","KB","358","100223961,2933","100227072","100227072","100227072","99670255","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMBKI001","Cluster_DR","mem.usage.average","%","358","2,2555","2,74","3,75","4,68","1,62","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMBKI001","Cluster_DR","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMBKI001","Cluster_DR","net.usage.average","KBps","358","678,4022","1037","1304","2531","321","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMMNTR001","Cluster_DR","cpu.ready.summation","millisecond","358","30455,0056","32628","33436","34476","21319","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMMNTR001","Cluster_DR","cpu.usage.average","%","358","0,0616","0,07","0,07","0,09","0,06","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMMNTR001","Cluster_DR","cpu.usagemhz.average","MHz","358","17,2123","19","19","22","16","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMMNTR001","Cluster_DR","disk.usage.average","KBps","358","0,0531","1","1","1","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMMNTR001","Cluster_DR","mem.consumed.average","KB","358","9174168,9553","9400320","9406464","9406464","9008634","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMMNTR001","Cluster_DR","mem.usage.average","%","358","0,99","0,99","0,99","0,99","0,99","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMMNTR001","Cluster_DR","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMMNTR001","Cluster_DR","net.usage.average","KBps","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMAPP001","Cluster_DR","cpu.ready.summation","millisecond","358","27154,7374","29187","30094","31010","21472","10/08/2026 00:00:00","08/09/2026 18:00:00"
